script_id,task_id,task_type,model,model_version,run_number,total_score,performance_band,context_content_data,structure_format_brevity,language_mechanics,originality_comparisons_paraphrase,cap_applied,cap_reason,is_attempted,frequent_errors,positive_aspects,feedback_summary,raw_json_path,run_timestamp,prompt_version,temperature
SE_11_Q1_0001,CHART_001,Graph/Chart,gemini,gemini-3.6-flash,1,6,Band 3 (6-7),2,1,1,2,True,Graph_External_Facts,True,"Inclusion of subjective personal opinion and policy recommendations in an analytical summary | Minor spelling mistakes ('pie-charet', 'highesst', 'non-renewal', 'enery') | Capitalization and punctuation errors after numeric values ('In 1980 The', 'A Now')",Accurately extracted and cited all data points and percentages from the visual stimulus | Logical sequence following a peak-to-trough order (highest to least used),"The candidate successfully captures all five numerical data points and sequences them logically from highest (Coal 46%) to lowest (Nuclear 2%). However, the concluding paragraph introduces external facts and personal advice regarding non-renewable resources and environmental conservation, which is strictly prohibited in objective graph analysis. Due to this rule violation, a hard cap of 6/10 is applied.",evaluations/raw/CHART_001_run1.json,2026-08-11T13:04:45+00:00,rubric_v1,0.0
SE_11_Q1_0002,CHART_002,Graph/Chart,gemini,gemini-3.6-flash,1,7.0,Band 3 (6-7),2.5,2.0,1.0,1.5,False,None,True,"Spelling and typographical mistakes ('Accroding do', 'dhe', 'thab', 'electricidy', 'plands', 'impordand') | Capitalization and clause linkage after full stops ('...burning coal. which rate was...') | Preposition and infinitive verb construction ('source for produce electricity')","Accurately reports all 5 data points from the chart (46%, 24%, 16%, 12%, 2%) without distortion. | Uses effective comparative observation ('nearly half of the chart', 'second highest source'). | Maintains strict adherence to visual data without including outside knowledge or personal opinions.","The response successfully presents and compares all essential data points from the chart in a logical structure, including an introductory lead and analytical conclusion. However, noticeable spelling and mechanical errors lower the language precision score. Overall, it achieves a solid Band 3 score.",evaluations/raw/CHART_002_run1.json,2026-08-11T13:04:56+00:00,rubric_v1,0.0
SE_11_Q1_0001,LETTER_001,Letter,gemini,gemini-3.6-flash,1,8,Band 4 (8-10),3,3,1,1,False,None,True,"Spelling errors ('beggining', 'forc', 'othere') | Punctuation and possessive contraction error in close ('You're's ever') | Minor execution slips in phrasing ('graphe & graphic design')","Flawless structural layout adhering to NCTB letter conventions | Immediate state of purpose with clear, modern practical ideas (freelancing, video editing, AI work) | Maintains correct informal letter tone and appropriate closing transitions","The candidate presents a structurally complete informal letter containing all relevant components, including the envelope format. The focus on acquiring freelancing skills post-HSC is highly practical and directly addresses the prompt. While there are a few surface-level spelling errors ('beggining', 'forc', 'You're's'), the overall communicative intent and organization place this script comfortably in Band 4.",evaluations/raw/LETTER_001_run1.json,2026-08-11T13:05:05+00:00,rubric_v1,0.0
SE_11_Q1_0002,LETTER_002,Letter,gemini,gemini-3.6-flash,1,6,Band 3 (6-7),2,3,0,1,False,None,True,"Phonetic spelling/transcription errors ('preparadion', 'thad', 'dhe', 'impordand', 'momenterm', 'fallfill', 'sday') | Spelling and word form errors ('describ', 'eingineer', 'famaleys') | Punctuation and capitalization errors inside sentences",Flawless structural layout and envelope formatting | Direct alignment with the prompt requirements (describing university admission plans and career choice) | Clear expressions of personal determination ('cannot stay in daydreaming'),"The letter strictly follows structural conventions with all layout parts present, including an envelope. The content directly addresses the prompt requirement by outlining the candidate's post-HSC university admission plans. However, significant spelling and phonetic errors (particularly substituting 'd' for 't') and minor syntax issues lower the language mechanics score, placing the script in Band 3 with 6/10.",evaluations/raw/LETTER_002_run1.json,2026-08-11T13:05:14+00:00,rubric_v1,0.0
SE_11_Q1_0001,PARA_001,Paragraph,gemini,gemini-3.6-flash,1,7,Band 3 (6-7),2.5,2.5,1.0,1.0,False,None,True,"Spelling slips (e.g., 'presicely', 'enery', 'Beacuse', 'privecy') | Subject-verb agreement and singular/plural form errors (e.g., 'hardware and software and try', 'Some task are') | Punctuation and possessive usage errors (e.g., 'it's' instead of 'its', 'peples job')",Maintains single-block structural integrity without split paragraphs | Systematically addresses all guided questions from the prompt | Demonstrates authentic student expression free from memorized guide templates,"The candidate presents a cohesive single-paragraph response that logically answers all five prompt questions, moving effectively from definition to practical applications, educational transformation, potential risks, and a concluding reflection. While structural integrity and topical coverage are strong, performance is placed in Band 3 due to an elevated density of minor mechanics errors (spelling and agreement slips).",evaluations/raw/PARA_001_run1.json,2026-08-11T13:05:25+00:00,rubric_v1,0.0
SE_11_Q1_0002,PARA_002,Paragraph,gemini,gemini-3.6-flash,1,5,Band 2 (4-5),2,2,0,1,False,None,True,"Severe orthographic and spelling mistakes throughout the text (e.g., 'dhe', 'droffic', 'answear', 'coundry', 'miniten', 'libary') | Grammatical and subject-verb agreement errors (e.g., 'AI have', 'AI has creade', 'It's also work')","Strict compliance with single-paragraph structural rules | Systematic coverage of all five prompt questions (definition, features, applications, education, and threats)","The script follows the correct single-paragraph format and systematically addresses all five guide questions. However, the high density of spelling and grammatical errors impairs clarity, placing the final mark in Band 2 at 5/10.",evaluations/raw/PARA_002_run1.json,2026-08-11T13:05:39+00:00,rubric_v1,0.0
SE_11_Q1_0001,STORY_001,Story,gemini,gemini-3.6-flash,1,7,Band 3 (6-7),2,2,1,2,False,None,True,"Spelling errors ('forrest', 'trappen', 'greatful', 'worck') | Phrasing and syntax glitches ('told the lion to an to let him free', 'ka save', 'how even can he save') | Possessive pronoun vs contractions confusion ('it's sound' instead of 'its sound')","Smooth and logical continuation of the stem prompt | Includes an appropriate title that aligns with the moral outcome | Reaches a complete, positive resolution with an explicit constructive lesson","The student successfully completes the story following the classic fable storyline. The narrative logic is clear, leading to a satisfying positive resolution and a stated moral. However, frequent minor spelling errors, awkward sentence constructions, and untidy phrasing prevent it from reaching the top marks band. The performance is placed in Band 3 with a score of 7 out of 10.",evaluations/raw/STORY_001_run1.json,2026-08-11T13:05:46+00:00,rubric_v1,0.0
SE_11_Q1_0002,STORY_002,Story,gemini,gemini-3.6-flash,1,6,Band 3 (6-7),2,2,1,1,False,None,True,"Inconsistent verb tenses (frequent shifting between present and past tense, e.g., 'see', 'remember', 'told') | Spelling and phonetic errors (e.g., 'dhat', 'creadure', 'diny', 'ad', 'forrest') | Flawed dialogue punctuation and syntax in spoken lines",Smooth and direct continuation from the prompt stem | Complete plot progression featuring a clear moral lesson and positive resolution | Proper inclusion of a story title,"The response presents a complete retelling of the classic lion and mouse fable with a clear moral and positive resolution. Pacing is sequential and directly links to the prompt stem. However, frequent tense shifting and persistent mechanical/spelling errors keep the script at the lower end of Band 3.",evaluations/raw/STORY_002_run1.json,2026-08-11T13:05:57+00:00,rubric_v1,0.0
SE_11_Q1_0001,SUMMARY_001,Summary,gemini,gemini-3.6-flash,1,5,Band 2 (4-5),2,1,1,1,False,None,True,"Spelling errors (e.g., 'alaways', 'flys') | Confused apostrophe usage ('It's' instead of possessive 'Its') | Redundant prepositions ('in on the strangest sea') | Literal misinterpretation of metaphoric elements ('in the jungle in rain')",Attempts to capture the central metaphor in original words without direct line copying | Maintains a single-paragraph format suitable for a summary,"The student grasps the fundamental theme—comparing hope to a bird that supports people through difficult situations—and attempts original paraphrasing. However, literal misinterpretations of poetic metaphors (adding details like 'jungle in rain') along with noticeable grammatical and spelling errors limit the mark to 5/10 (Band 2).",evaluations/raw/SUMMARY_001_run1.json,2026-08-11T13:06:08+00:00,rubric_v1,0.0
SE_11_Q1_0002,SUMMARY_002,Summary,gemini,gemini-3.6-flash,1,7.5,Band 3 (6-7),2.5,2.5,1.0,1.5,False,None,True,Spelling mistake ('illustrades' instead of 'illustrates') | Subject-verb agreement error ('never ask' instead of 'never asks') | Typographical/preposition error ('give as mental comfort' instead of 'gives us mental comfort'),"Excellent paraphrasing without copying direct poetic lines verbatim | Successfully distills abstract poetic imagery into clear core themes (resilience, selflessness of hope) | Adheres strictly to the structural and length constraints of summary writing",The student has successfully extracted the central theme of Dickinson's poem and explained it in their own words without relying on verbatim copying. The summary remains concise and structured in a single block. Slight marks were deducted for subject-verb agreement and minor spelling errors.,evaluations/raw/SUMMARY_002_run1.json,2026-08-11T13:06:16+00:00,rubric_v1,0.0
