"task_id","script_id","question_no","question_type","max_mark","teacher_mark","teacher_mark_confidence","teacher_mark_source","question","source_text","extracted_text_raw","extracted_text","student_title","page_range","extraction_status","error_message","confidence","illegible_count","unclear_count","cut_count","struck_count","inserted_count","ambiguous_authorship_count","red_ink_suspected","needs_review","review_flags","word_count","char_count","source_word_count","length_ratio","exceeds_one_third","verbatim_overlap_pct","paragraph_break_count","letter_components_found","letter_components_missing_count","transcription_model_version","transcription_provider","transcription_prompt_version","prompt_hash","transcription_settings","extraction_timestamp"
"SUMMARY_001","SE_11_Q1_0001","3","Summary","10","","","absent","Summarize the following text. Hope"" is the thing with feathers —
That perches in the soul—
And sings the tune without the words—
And never stops — at all—
And sweetest — in the Gale — is heard —
And sore must be the storm —
That could abash the little Bird
That kept so many warm —
I've heard it in the chillest land —
And on the strangest Sea —
Yet — never — in Extremity,
It asked a crumb — of me.","Hope"" is the thing with feathers —
That perches in the soul—
And sings the tune without the words—
And never stops — at all—
And sweetest — in the Gale — is heard —
And sore must be the storm —
That could abash the little Bird
That kept so many warm —
I've heard it in the chillest land —
And on the strangest Sea —
Yet — never — in Extremity,
It asked a crumb — of me.","In the poem Hope is compared with bird. Bird always flys here and there. In the jungle in rain, in winter and also on the strangest sea we can hear it. It's singing keeps many people warm. Like the bird we can find hope anywhere in any situation. In our best times or on the times where we are alone.","In the poem Hope is compared with bird. Bird always flys here and there. In the jungle in rain, in winter and also on the strangest sea we can hear it. It's singing keeps many people warm. Like the bird we can find hope anywhere in any situation. In our best times or on the times where we are alone.","","15","ok","","0.95","0","0","0","0","0","0","False","False","","60","300","69","0.8696","True","0.0","0","","","gemma-4-31b-it","gemini","extraction_prompt_v2","85afd6a0363fc77ac269e8a92485a2f6670e2370503eca21eb690dbcc64252b2","{""thinking_level"": ""medium"", ""max_output_tokens"": 32768}","2026-08-24T15:49:26.393833+00:00"
"PARA_001","SE_11_Q1_0001","7","Paragraph","10","","","absent","Answer the following questions and write a paragraph on Artificial Intelligence. a. What is Artificial Intelligence? b. What are the features of AI? c. What are the applications of AI? d. How has AI revolutionized teaching and learning? e. Do you find any threatening aspect in AI?","","Artificial Intelligence mostly known as AI is a modern technology which contains hardware and software and try to do tasks like human brain. It is nowadays used widely in all sectores like teaching, nursing, training etc. Doctors can use AI to define any problem presisely. AI also can help students at making notes. ~~Freet~~ Freelancers use AI to do their work fast which saves both time. and energy. So, AI is seen in all sectores and it is increasing rapidly because of it's usefulness. Which task are time consuming and hard AI can easily solve them at no time. It is has become an important part of our daily life. Beacuse of AI teaching and learning got revolutionized. It can help teacher to make gather information about any topic it can also make a slide which can be used for teaching students AI is very useful for us but it also have some threatening aspects such as taking peoples job, data loss, privecy lack and It has become so powerful that if anyone uses it for any bad work like hacking it can affect the whole nation. So, we all should use this modern technology for the pleasure of ~~manking~~ mankind.","Artificial Intelligence mostly known as AI is a modern technology which contains hardware and software and try to do tasks like human brain. It is nowadays used widely in all sectores like teaching, nursing, training etc. Doctors can use AI to define any problem presisely. AI also can help students at making notes.  Freelancers use AI to do their work fast which saves both time. and energy. So, AI is seen in all sectores and it is increasing rapidly because of it's usefulness. Which task are time consuming and hard AI can easily solve them at no time. It is has become an important part of our daily life. Beacuse of AI teaching and learning got revolutionized. It can help teacher to make gather information about any topic it can also make a slide which can be used for teaching students AI is very useful for us but it also have some threatening aspects such as taking peoples job, data loss, privecy lack and It has become so powerful that if anyone uses it for any bad work like hacking it can affect the whole nation. So, we all should use this modern technology for the pleasure of  mankind.","Artificial Intelligence","1-3","ok","","0.95","0","0","0","2","0","0","False","False","","199","1104","","","","","0","","","gemma-4-31b-it","gemini","extraction_prompt_v2","85afd6a0363fc77ac269e8a92485a2f6670e2370503eca21eb690dbcc64252b2","{""thinking_level"": ""medium"", ""max_output_tokens"": 32768}","2026-08-24T15:49:26.393833+00:00"
"CHART_001","SE_11_Q1_0001","8","Graph_Chart","10","","","absent","Look at the chart. It shows the sources of the USA electricity in 1980. Now, analyse the chart focussing the main aspects. (at least in 80 words)

Chart title: Sources of USA electricity in 1980. Values shown: Coal 46%; Natural gas 24%; Hydro-electric power 16%; Oil 12%; Nuclear 2%.","","In the given pie-chart we can see that the sources of the USA electricity in 1980 In 1980 The main sourcee of generation electricity in USA was 41% Natural gas Coal which was the highest 46% of the total sources. It was the highest demand for generating electricity. After that Natural gas the second highest option for generating electricity which was 24%. Then it was Hydro-electric powere which was 16% of total. 12% electricity was generated from oil. A Now the least used one was Nuclear only 2%.

So, we can make a col conclusion that they stued so much non-renewal energy which are limited in nature. If we want to save these natural ressource we should increase the use of renewabl enery.","In the given pie-chart we can see that the sources of the USA electricity in 1980 In 1980 The main sourcee of generation electricity in USA was 41% Natural gas Coal which was the highest 46% of the total sources. It was the highest demand for generating electricity. After that Natural gas the second highest option for generating electricity which was 24%. Then it was Hydro-electric powere which was 16% of total. 12% electricity was generated from oil. A Now the least used one was Nuclear only 2%.

So, we can make a col conclusion that they stued so much non-renewal energy which are limited in nature. If we want to save these natural ressource we should increase the use of renewabl enery.","The sources of the USA electricity in 1980","3-4","ok","","0.9","0","0","0","0","0","0","False","False","","118","696","","","","","1","","","gemma-4-31b-it","gemini","extraction_prompt_v2","85afd6a0363fc77ac269e8a92485a2f6670e2370503eca21eb690dbcc64252b2","{""thinking_level"": ""medium"", ""max_output_tokens"": 32768}","2026-08-24T15:49:26.393833+00:00"
"STORY_001","SE_11_Q1_0001","9","Story","7","","","absent","The following is the beginning of a story. Complete it in your own words and give a proper title. Once a lion was sleeping in a forest. Suddenly a mouse came there. It was, in fact, playing on a race quite happily and didn't notice the sleeping lion. While running, ............","","Once a lion was sleeping in a forrest. Suddenly a mouse came there. It was, in fact, playing on a race quite happily and didn't notice the sleeping lion. While running, it's sound woke up the lion. The lion caught the mouse. The mouse got scared and told the lion to eat to let him free, one day he might save the lion's life. Hearing this the lion laughed and told the mouse that he was small how even can he save the life of the lion. At last the lion ~~freed~~ let the mouse go. One day, in the jungle the mouse heard a sound he followed the sound and saw that the lion was trappen in a net which was put there by the hunters. He went to the lion and cut the net with his sharp ~~teath~~ teeth. The lion was greatful for him as the mouse have saved his life. Then he the lion size doesn't matter to do any worek.","Once a lion was sleeping in a forrest. Suddenly a mouse came there. It was, in fact, playing on a race quite happily and didn't notice the sleeping lion. While running, it's sound woke up the lion. The lion caught the mouse. The mouse got scared and told the lion to eat to let him free, one day he might save the lion's life. Hearing this the lion laughed and told the mouse that he was small how even can he save the life of the lion. At last the lion  let the mouse go. One day, in the jungle the mouse heard a sound he followed the sound and saw that the lion was trappen in a net which was put there by the hunters. He went to the lion and cut the net with his sharp  teeth. The lion was greatful for him as the mouse have saved his life. Then he the lion size doesn't matter to do any worek.","Size doesn't Matter","5-6","ok","","0.9","0","0","0","2","0","0","False","False","","163","797","","","","","0","","","gemma-4-31b-it","gemini","extraction_prompt_v2","85afd6a0363fc77ac269e8a92485a2f6670e2370503eca21eb690dbcc64252b2","{""thinking_level"": ""medium"", ""max_output_tokens"": 32768}","2026-08-24T15:49:26.393833+00:00"
"LETTER_001","SE_11_Q1_0001","10","Letter_Email","5","","","absent","Write a letter to your friend describing the future plan after passing HSC Exam.","","Jatrabari, Dhaka-1204
27-06-2026

Dear Saiful,

At the beggining of the letter take my salam and the best wishes from the core of my heart

In your letter you wanted to know about my future plan after passing the HSC Exam. Today I'am writing so.

After my HSC Exam I will get a lot of free time which I am thinking to use for freelancing. Freelancing means working from home. There are so many works which can be done in Freelancing. such as video editing. ~~graphta~~ graphic design, AI work and many more other works : It can be time consuming to grow in this sector. Moreover, I can earn money by doing this which can help me to become self-relient.

No more today. You can also share what you will do after the HSC Exam. Hoping to hear from you soon.

Your's ever,
Kalam

From
Kalam
Jatrabari
Dhaka-1204

To
Saiful
Gaibandha
Rangpure

stamp","Jatrabari, Dhaka-1204
27-06-2026

Dear Saiful,

At the beggining of the letter take my salam and the best wishes from the core of my heart

In your letter you wanted to know about my future plan after passing the HSC Exam. Today I'am writing so.

After my HSC Exam I will get a lot of free time which I am thinking to use for freelancing. Freelancing means working from home. There are so many works which can be done in Freelancing. such as video editing.  graphic design, AI work and many more other works : It can be time consuming to grow in this sector. Moreover, I can earn money by doing this which can help me to become self-relient.

No more today. You can also share what you will do after the HSC Exam. Hoping to hear from you soon.

Your's ever,
Kalam

From
Kalam
Jatrabari
Dhaka-1204

To
Saiful
Gaibandha
Rangpure

stamp","","8-9","ok","","0.95","0","0","0","1","0","0","False","False","","151","833","","","","","9","address;date;salutation;body;close;signature","0","gemma-4-31b-it","gemini","extraction_prompt_v2","85afd6a0363fc77ac269e8a92485a2f6670e2370503eca21eb690dbcc64252b2","{""thinking_level"": ""medium"", ""max_output_tokens"": 32768}","2026-08-24T15:49:26.393833+00:00"
"THEME_001","SE_11_Q1_0001","11","Theme","8","","","absent","Write down the theme of the poem.

All people dream, but not equally.
Those who dream by night in the dusty recesses of their mind,
Wake in the morning to find that it was vanity.
But the dreamers of the day are dangerous people,
For they dream their dreams with open eyes,
And make them come true.","All people dream, but not equally.
Those who dream by night in the dusty recesses of their mind,
Wake in the morning to find that it was vanity.
But the dreamers of the day are dangerous people,
For they dream their dreams with open eyes,
And make them come true.","There are two kind of dream. one which we see while we sleep and another because of which we can not sleep. Those dream we see while sleeping is not for us. Those which take our sleep is our real. dream and these are possible to fata come true.","There are two kind of dream. one which we see while we sleep and another because of which we can not sleep. Those dream we see while sleeping is not for us. Those which take our sleep is our real. dream and these are possible to fata come true.","","7","ok","","0.95","0","0","0","0","0","0","False","False","","49","244","50","0.98","","0.0","0","","","gemma-4-31b-it","gemini","extraction_prompt_v2","85afd6a0363fc77ac269e8a92485a2f6670e2370503eca21eb690dbcc64252b2","{""thinking_level"": ""medium"", ""max_output_tokens"": 32768}","2026-08-24T15:49:26.393833+00:00"
"SUMMARY_002","SE_11_Q1_0002","3","Summary","10","","","absent","Summarize the following text. Hope"" is the thing with feathers —
That perches in the soul—
And sings the tune without the words—
And never stops — at all—
And sweetest — in the Gale — is heard —
And sore must be the storm —
That could abash the little Bird
That kept so many warm —
I've heard it in the chillest land —
And on the strangest Sea —
Yet — never — in Extremity,
It asked a crumb — of me.","Hope"" is the thing with feathers —
That perches in the soul—
And sings the tune without the words—
And never stops — at all—
And sweetest — in the Gale — is heard —
And sore must be the storm —
That could abash the little Bird
That kept so many warm —
I've heard it in the chillest land —
And on the strangest Sea —
Yet — never — in Extremity,
It asked a crumb — of me.","The poem 'Hope' illustrodes Hope lives in the soul and it sings endlessly at the darkest moment in the life. It never ask anything return. In the storm of life it gives us strensth and courage Moreover, in the extreme situation of the hope give us mental comfort.","The poem 'Hope' illustrodes Hope lives in the soul and it sings endlessly at the darkest moment in the life. It never ask anything return. In the storm of life it gives us strensth and courage Moreover, in the extreme situation of the hope give us mental comfort.","","5","ok","","1.0","0","0","0","0","0","0","False","False","","48","263","69","0.6957","True","0.0","0","","","gemma-4-31b-it","gemini","extraction_prompt_v2","85afd6a0363fc77ac269e8a92485a2f6670e2370503eca21eb690dbcc64252b2","{""thinking_level"": ""medium"", ""max_output_tokens"": 32768}","2026-08-24T15:47:47.756510+00:00"
"PARA_002","SE_11_Q1_0002","7","Paragraph","10","","","absent","Answer the following questions and write a paragraph on Artificial Intelligence. a. What is Artificial Intelligence? b. What are the features of AI? c. What are the applications of AI? d. How has AI revolutionized teaching and learning? e. Do you find any threatening aspect in AI?","","Artificial Indelligence is called ""AI"" which means one acts like a human brain. when we ask any question it gives us correctly answer. It works like human brain and recovery their wrong answer. Nowadays, AI have many features. Like answer and question, deep learning, Nano banana, instant video maker, analysis, create istory, photoshop tool etc. For instant moment, we take knowledge from AI. If we want do write new thoughts it's helps us do know about the world. Around the world, every country, nation use AI in their daily activities. From morning too till night we use it. when we indo a m special moment and it remind me in time. Moreover, Now days government use it in Dhaka Traffic systeme. and we can take the advantage. and our traffic control system must be betten than past. In the world, we see that. 'Albania' declaned first AI health miniten and it is the first in world where worked as a minister Moreover we use it diffenend sector. AI has create a revolutionized teaching and leanning. we can ask any question in AI and get the reply in a moment. It's also work a research analysist. they can know all things with AI. It's work like a libary. a where we can get the knowledge. we find that one day 'AI' work in factory, mills and all sector. It also hampen our human activity with work AI we cannot stay in deep thinking.","Artificial Indelligence is called ""AI"" which means one acts like a human brain. when we ask any question it gives us correctly answer. It works like human brain and recovery their wrong answer. Nowadays, AI have many features. Like answer and question, deep learning, Nano banana, instant video maker, analysis, create istory, photoshop tool etc. For instant moment, we take knowledge from AI. If we want do write new thoughts it's helps us do know about the world. Around the world, every country, nation use AI in their daily activities. From morning too till night we use it. when we indo a m special moment and it remind me in time. Moreover, Now days government use it in Dhaka Traffic systeme. and we can take the advantage. and our traffic control system must be betten than past. In the world, we see that. 'Albania' declaned first AI health miniten and it is the first in world where worked as a minister Moreover we use it diffenend sector. AI has create a revolutionized teaching and leanning. we can ask any question in AI and get the reply in a moment. It's also work a research analysist. they can know all things with AI. It's work like a libary. a where we can get the knowledge. we find that one day 'AI' work in factory, mills and all sector. It also hampen our human activity with work AI we cannot stay in deep thinking.","Artificial Indelligence","17-18","ok","","0.9","0","0","0","0","0","0","False","False","","242","1340","","","","","0","","","gemma-4-31b-it","gemini","extraction_prompt_v2","85afd6a0363fc77ac269e8a92485a2f6670e2370503eca21eb690dbcc64252b2","{""thinking_level"": ""medium"", ""max_output_tokens"": 32768}","2026-08-24T15:47:47.756510+00:00"
"CHART_002","SE_11_Q1_0002","8","Graph_Chart","10","","","absent","Look at the chart. It shows the sources of the USA electricity in 1980. Now, analyse the chart focussing the main aspects. (at least in 80 words)

Chart title: Sources of USA electricity in 1980. Values shown: Coal 46%; Natural gas 24%; Hydro-electric power 16%; Oil 12%; Nuclear 2%.","","The pie chart illustrates the sources of USA electricity in 1980. Accroding to the chart, we can see that in 1980 most percentage of electricity in USA comes from burning coal. which rate was 46%, nearly half of the chart. Natural gas consumption gives second highest source for produce electricity which is 24%, Moreover, hydro electric power plant produce 16% percent electricity in USA. Oil and Nuclear power plants also a important sector to supply electricity. which rate is respectively 12% and 2% From the chart, we explore that coal is the most powerful sector in USA electricity supply. Natural gas and Hydro-electric power also play a huge role.","The pie chart illustrates the sources of USA electricity in 1980. Accroding to the chart, we can see that in 1980 most percentage of electricity in USA comes from burning coal. which rate was 46%, nearly half of the chart. Natural gas consumption gives second highest source for produce electricity which is 24%, Moreover, hydro electric power plant produce 16% percent electricity in USA. Oil and Nuclear power plants also a important sector to supply electricity. which rate is respectively 12% and 2% From the chart, we explore that coal is the most powerful sector in USA electricity supply. Natural gas and Hydro-electric power also play a huge role.","","12-13","ok","","0.9","0","0","0","0","0","0","False","False","","103","655","","","","","0","","","gemma-4-31b-it","gemini","extraction_prompt_v2","85afd6a0363fc77ac269e8a92485a2f6670e2370503eca21eb690dbcc64252b2","{""thinking_level"": ""medium"", ""max_output_tokens"": 32768}","2026-08-24T15:47:47.756510+00:00"
"STORY_002","SE_11_Q1_0002","9","Story","7","","","absent","The following is the beginning of a story. Complete it in your own words and give a proper title. Once a lion was sleeping in a forest. Suddenly a mouse came there. It was, in fact, playing on a race quite happily and didn't notice the sleeping lion. While running, ............","","Once a lion was sleeping in a forest. Suddenly a mouse came there. It was in fact, playing on a race quite happily and didn't notice the sleeping lion. while running into his body, he entered the lion nose, and this time the lion wake up. with his roaring, he told him ""How dare you a tiny creature,"" ""You dont know me. why you disturbed me. Now I will kill you?"" The mouse reply the faint voice that ""don't kill me!, lord; I cannot see you. I only play outside you, I am a tiny creature, if you killed me that's not fame for Lord."" The Lion reply that ""you disturb me in my sleep. as a tiny creature. You cannot give me proper respect?"" The mouse reply that ""My Lord, please Forgive me. Oneday I will help you"". The Lion laushed and told that ""You, a tiny creature helped me, Now, I forgive you, but at the next time be careful about myself. so away?"" The mouse thanked him and go far away. on after passing some days. the mouse searching for food, in the forest, suddenly, he hear something. Then the mouse cleanly hear that ""A lion was roaring"" Then, he so do the place and see some unpredictable. The mouse saw the lion and remember the lion who forgive captured in and him The mouse told faint voice"" Friend! Don't be afraid, I will help you. as that he so do the net. and cut the net with his sharp teeth. Then the lion be free. The lion told that ""Thank you my friend for saving my life. from today we one friend""","Once a lion was sleeping in a forest. Suddenly a mouse came there. It was in fact, playing on a race quite happily and didn't notice the sleeping lion. while running into his body, he entered the lion nose, and this time the lion wake up. with his roaring, he told him ""How dare you a tiny creature,"" ""You dont know me. why you disturbed me. Now I will kill you?"" The mouse reply the faint voice that ""don't kill me!, lord; I cannot see you. I only play outside you, I am a tiny creature, if you killed me that's not fame for Lord."" The Lion reply that ""you disturb me in my sleep. as a tiny creature. You cannot give me proper respect?"" The mouse reply that ""My Lord, please Forgive me. Oneday I will help you"". The Lion laushed and told that ""You, a tiny creature helped me, Now, I forgive you, but at the next time be careful about myself. so away?"" The mouse thanked him and go far away. on after passing some days. the mouse searching for food, in the forest, suddenly, he hear something. Then the mouse cleanly hear that ""A lion was roaring"" Then, he so do the place and see some unpredictable. The mouse saw the lion and remember the lion who forgive captured in and him The mouse told faint voice"" Friend! Don't be afraid, I will help you. as that he so do the net. and cut the net with his sharp teeth. Then the lion be free. The lion told that ""Thank you my friend for saving my life. from today we one friend""","The Lion and the Mouse","14-16","ok","","0.9","0","0","0","0","0","0","False","False","","276","1420","","","","","0","","","gemma-4-31b-it","gemini","extraction_prompt_v2","85afd6a0363fc77ac269e8a92485a2f6670e2370503eca21eb690dbcc64252b2","{""thinking_level"": ""medium"", ""max_output_tokens"": 32768}","2026-08-24T15:47:47.756510+00:00"
