"task_id","exam_set","script_id","question_no","question_type","max_mark","model","provider","n_runs","mean_total_score","total_score_min","total_score_max","total_score_range","total_score_std","mean_context_content_data","mean_structure_format_brevity","mean_language_mechanics","mean_originality_comparisons_paraphrase","mean_raw_total","performance_band_of_mean","cap_applied_rate","cap_reason_modal","is_attempted","synthesised","evidence_not_found_rate","model_version","thinking_level","rubric_hash","prompt_hash"
"DIALOG_001","SE_06_Q1","SE_06_Q1_0001","13","Dialogue","10","gemma","ai_studio","1","6.0","6.0","6.0","0.0","0.0","2.0","2.0","0.5","1.5","6.0","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","40f7fc97b28cb2cdf60b8c49ce3bb6a778adc291733464d63ed7c3269f57981b"
"DIALOG_002","SE_06_Q1","SE_06_Q1_0002","13","Dialogue","10","gemma","","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Band 0","0.0","None","False","True","0.0","","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","360bf2fc0dfcd9fb88893ddcae412d017ef1571425abf8483c06305491367575"
"DIALOG_003","SE_06_Q1","SE_06_Q1_0003","13","Dialogue","10","gemma","ai_studio","1","8.0","8.0","8.0","0.0","0.0","3.0","3.0","1.0","1.0","8.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","112343fbe24f0acd7260d67c84d5af5ab4c001e7bbd8372ea1233670437b142a"
"DIALOG_004","SE_06_Q1","SE_06_Q1_0004","13","Dialogue","10","gemma","","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Band 0","0.0","None","False","True","0.0","","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","360bf2fc0dfcd9fb88893ddcae412d017ef1571425abf8483c06305491367575"
"DIALOG_005","SE_06_Q1","SE_06_Q1_0005","13","Dialogue","10","gemma","ai_studio","1","6.0","6.0","6.0","0.0","0.0","2.0","2.0","1.0","1.0","6.0","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","5433eec306f864be2e7ad57380cb2562f4a862c6b36145c5a842dde40b375d26"
"DIALOG_006","SE_06_Q1","SE_06_Q1_0006","13","Dialogue","10","gemma","ai_studio","1","8.0","8.0","8.0","0.0","0.0","3.0","3.0","1.0","1.0","8.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","30214680a40eb58431e4ed22cc93d3f8fc661221df0eadae57023646ef4c17d1"
"DIALOG_007","SE_06_Q1","SE_06_Q1_0007","13","Dialogue","10","gemma","ai_studio","1","9.0","9.0","9.0","0.0","0.0","3.0","3.0","1.0","2.0","9.0","Band 4","0.0","None","True","False","0.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","6cef09b85350f3fa63e69aedcfc493180835eb222739bd4e05bab5765b5c94ef"
"DIALOG_008","SE_06_Q1","SE_06_Q1_0008","13","Dialogue","10","gemma","ai_studio","1","9.0","9.0","9.0","0.0","0.0","3.0","3.0","1.0","2.0","9.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","7f357f8cd5fa61577d62bc093e5c1d6fabb04ce995f882d75ae739bf3e8cb2fa"
"DIALOG_009","SE_06_Q1","SE_06_Q1_0009","13","Dialogue","10","gemma","ai_studio","1","8.0","8.0","8.0","0.0","0.0","3.0","3.0","1.0","1.0","8.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","82c462472aa4d347bdc8da99023213dffbec767de4c1e7bf768b030cd78cc8ea"
"DIALOG_010","SE_06_Q1","SE_06_Q1_0010","13","Dialogue","10","gemma","ai_studio","1","9.0","9.0","9.0","0.0","0.0","3.0","3.0","1.0","2.0","9.0","Band 4","0.0","None","True","False","0.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","cf0cb7ac54606bf910418458887864476630e72149fb813800b586c739cb516c"
