id,subject,marks_col,question_source,question_text,red_score,red_score_raw,full_marks_on_page,status,gold_score,token_score,matched,full_marks,full_marks_source,full_marks_reliable,gold_usable,score_rubric,transcription_rubric,confidence_rubric,reasoning_rubric,score_solution,transcription_solution,confidence_solution,reasoning_solution
388557965760,Biology,5/2,EN,Define: ( i ) Bivalent (ii) Synapsis ( iii) Tetrad ( iv) Chiasma (v) Crossing over,2.5,2.5,,NO_MARKSCOL,2.5,,,2.5,marks_col,True,True,1.9,2. Ci) Due to formation of synapsis of homologous Chromosomes; Number of paired chromosomes is bivalent. Cii) Formation of pair between two homologous chromosomes is synapsis. Ciii) Due to formation of chiasma between non-sister chromatids; tetrad state occurs. Civ) the n-shaped junction of two non-sister chromatids in pachytene stage is chiasma. Cv) The interchange of parts between two non-sister chromatids is crossing over.,0.95,"Bivalent: 0.5/0.5 Correctly identifies bivalent as paired homologous chromosomes formed during synapsis. | Synapsis: 0.5/0.5 Correctly defines synapsis as the pairing of homologous chromosomes. | Tetrad: 0.0/0.5 The definition is indirect and describes an event related to tetrads (chiasma formation) rather than defining what a tetrad is (a structure of four chromatids). | Chiasma: 0.4/0.5 Mostly correct, identifies it as a junction between non-sister chromatids in pachytene, but describes it as 'n-shaped' instead of 'X-shaped' or simply a point of contact. | Crossing over: 0.5/0.5 Correctly defines crossing over as the interchange of parts between non-sister chromatids.",1.9,2. Ci) Due to formation of synapsis of homologous Chromosomes; Number of paired chromosomes is bivalent. Cii) Formation of pair between two homologous chromosomes is synapsis. Ciii) Due to formation of chiasma between non-sister chromatids; tetrad state occurs. Civ) the n-shaped junction of two non-sister chromatids in pachytene stage is chiasma. Cv) The interchange of parts between two non-sister chromatids is crossing over.,0.95,"Bivalent: 0.5/0.5 Correctly identifies bivalent as paired homologous chromosomes formed during synapsis. | Synapsis: 0.5/0.5 Correctly defines synapsis as the pairing of homologous chromosomes. | Tetrad: 0.0/0.5 The definition is indirect and describes an event related to tetrads (chiasma formation) rather than defining what a tetrad is (a structure of four chromatids). | Chiasma: 0.4/0.5 Mostly correct, identifies it as a junction between non-sister chromatids in pachytene, but describes it as 'n-shaped' instead of 'X-shaped' or simply a point of contact. | Crossing over: 0.5/0.5 Correctly defines crossing over as the interchange of parts between non-sister chromatids."
894483107494,Biology,5/2,EN,What is multiple allelism? Which gametes will be formed from \(AaBb\) genotypic organism?,2.5,2.5,,NO_MARKSCOL,2.5,,,2.5,marks_col,True,True,2.5,"3. When multiple alleles in a specific locus of a homologous Chromosomes control a specific trait, it is called multiple allelism. Gametes! i) AB ii) Ab iii) aB iv) ab",1.0,"Definition of multiple allelism: 1.0/1.0 The student provided a correct and comprehensive definition of multiple allelism, mentioning multiple alleles at a specific locus on homologous chromosomes controlling a specific trait. | Gametes formed from AaBb: 1.5/1.5 The student correctly identified all four possible gametes (AB, Ab, aB, ab) that can be formed from an AaBb genotypic organism.",2.5,"3. When multiple alleles in a specific locus of a homologous Chromosomes control a specific trait, it is called multiple allelism. Gametes! i) AB ii) Ab iii) aB iv) ab",1.0,"Definition of multiple allelism: 1.0/1.0 The student provided a correct and comprehensive definition of multiple allelism, mentioning multiple alleles at a specific locus on homologous chromosomes controlling a specific trait. | Gametes formed from AaBb: 1.5/1.5 The student correctly identified all four possible gametes (AB, Ab, aB, ab) that can be formed from an AaBb genotypic organism."
657037053129,Biology,1/2,EN,Write the names of malaria parasite and their latent period.,2.25,2.25,,NO_MARKSCOL,2.25,,,0.5,inconsistent(gold>full),False,False,0.5,4. i.) Plasmodium falciparum! 8-15 days ii.) Plasmodium vivax! 12-16 days. iii.) Plasmodium malariae! 18-40 days. iv.) Plasmodium ovale! 11-16 days,1.0,"Correctly identified Plasmodium falciparum and its latent period: 0.25/0.25 The student correctly identified Plasmodium falciparum and its latent period (8-15 days), matching the model solution. | Provided additional correct malaria parasites and their latent periods: 0.25/0.25 The student provided additional correct information for Plasmodium vivax, Plasmodium malariae, and Plasmodium ovale, along with their accurate latent periods, demonstrating comprehensive knowledge.",0.5,4. i.) Plasmodium falciparum! 8-15 days ii.) Plasmodium vivax! 12-16 days. iii.) Plasmodium malariae! 18-40 days. iv.) Plasmodium ovale! 11-16 days,1.0,"Correctly identified Plasmodium falciparum and its latent period: 0.25/0.25 The student correctly identified Plasmodium falciparum and its latent period (8-15 days), matching the model solution. | Provided additional correct malaria parasites and their latent periods: 0.25/0.25 The student provided additional correct information for Plasmodium vivax, Plasmodium malariae, and Plasmodium ovale, along with their accurate latent periods, demonstrating comprehensive knowledge."
560244588512,Biology,5/2,EN,Write down five differences between Vertebrates and Invertebrate.,2.0,2,,NO_MARKSCOL,2.0,,,2.5,marks_col,True,True,1.5,1. Vertebrates (i) Notochord turns into backbone. (ii) Nerve chord transforming into Brain and spinal chord. (iii) Gill slits to transform into Lungs & skin in uterus. (iv) Give birth in uterus. (v) Nerve -> dorsal; heart -> ventral region Invertebrates (i) No backbone. (ii) No transformation in nerve chord. (iii) Gill slits doesn't undergo change. (iv) Doesn't give birth in uterus. (v) Nerve -> ventral; heart -> dorsal region,0.9,"Notochord/Backbone presence and development: 0.5/0.5 The student correctly identifies that vertebrates have a notochord that develops into a backbone, while invertebrates lack a backbone. | Nerve chord transformation/structure: 0.5/0.5 The student correctly states that the nerve cord in vertebrates transforms into the brain and spinal cord, and implies no such transformation in invertebrates, which is a valid difference. | Gill slits development/presence: 0.0/0.5 The statement that gill slits transform into lungs and skin in vertebrates is incorrect. Gill slits (pharyngeal slits) are embryonic features that may persist or close, but do not become lungs and skin. Lungs develop from the foregut. The invertebrate counterpart is also vague and not a clear difference. | Reproduction method (birth in uterus): 0.0/0.5 Stating that vertebrates 'give birth in uterus' is only true for viviparous mammals, not all vertebrates (e.g., birds lay eggs). Therefore, this is not a universal difference between all vertebrates and invertebrates. | Position of nerve cord and heart: 0.5/0.5 The student correctly identifies that vertebrates have a dorsal nerve cord and a ventral heart, while many invertebrates have a ventral nerve cord and a dorsal heart, which is a fundamental anatomical difference.",1.5,1. Vertebrates (i) Notochord turns into backbone. (ii) Nerve chord transforming into Brain and spinal chord. (iii) Gill slits to transform into Lungs & skin in uterus. (iv) Give birth in uterus. (v) Nerve -> dorsal; heart -> ventral region Invertebrates (i) No backbone. (ii) No transformation in nerve chord. (iii) Gill slits doesn't undergo change. (iv) Doesn't give birth in uterus. (v) Nerve -> ventral; heart -> dorsal region,0.9,"Notochord/Backbone presence and development: 0.5/0.5 The student correctly identifies that vertebrates have a notochord that develops into a backbone, while invertebrates lack a backbone. | Nerve chord transformation/structure: 0.5/0.5 The student correctly states that the nerve cord in vertebrates transforms into the brain and spinal cord, and implies no such transformation in invertebrates, which is a valid difference. | Gill slits development/presence: 0.0/0.5 The statement that gill slits transform into lungs and skin in vertebrates is incorrect. Gill slits (pharyngeal slits) are embryonic features that may persist or close, but do not become lungs and skin. Lungs develop from the foregut. The invertebrate counterpart is also vague and not a clear difference. | Reproduction method (birth in uterus): 0.0/0.5 Stating that vertebrates 'give birth in uterus' is only true for viviparous mammals, not all vertebrates (e.g., birds lay eggs). Therefore, this is not a universal difference between all vertebrates and invertebrates. | Position of nerve cord and heart: 0.5/0.5 The student correctly identifies that vertebrates have a dorsal nerve cord and a ventral heart, while many invertebrates have a ventral nerve cord and a dorsal heart, which is a fundamental anatomical difference."
564641797057,Biology,5/2,EN,Write the name of sites of different steps of aerobic respiration. Which step is called the common pathway of respiration?,2.5,2.5,,NO_MARKSCOL,2.5,,,2.5,marks_col,True,True,2.5,"2. Ci-) Glycolyens: Cytoplasm. Cii-) Acetyl Co-A formation: Mitochondrial matran. Ciii-) Krebs cycle: Mitochondrial matran. Civ-) Electron transfer: Inner membrane / cristae mitochondria. Common Pathway is ""Glycolysis"".",0.95,"Site of Glycolysis: 0.5/0.5 Correctly identified cytoplasm as the site of glycolysis, despite misspelling 'Glycolysis' as 'Glycolyens'. | Site of Acetyl Co-A formation: 0.5/0.5 Correctly identified mitochondrial matrix as the site of Acetyl Co-A formation, despite misspelling 'matrix' as 'matran'. | Site of Krebs cycle: 0.5/0.5 Correctly identified mitochondrial matrix as the site of the Krebs cycle, despite misspelling 'matrix' as 'matran'. | Site of Electron transfer (ETC): 0.5/0.5 Correctly identified the inner mitochondrial membrane/cristae as the site of electron transfer. | Common pathway of respiration: 0.5/0.5 Correctly identified glycolysis as the common pathway of respiration.",2.5,"2. Ci-) Glycolyens: Cytoplasm. Cii-) Acetyl Co-A formation: Mitochondrial matran. Ciii-) Krebs cycle: Mitochondrial matran. Civ-) Electron transfer: Inner membrane / cristae mitochondria. Common Pathway is ""Glycolysis"".",0.95,"Site of Glycolysis: 0.5/0.5 Correctly identified cytoplasm as the site of glycolysis, despite misspelling 'Glycolysis' as 'Glycolyens'. | Site of Acetyl Co-A formation: 0.5/0.5 Correctly identified mitochondrial matrix as the site of Acetyl Co-A formation, despite misspelling 'matrix' as 'matran'. | Site of Krebs cycle: 0.5/0.5 Correctly identified mitochondrial matrix as the site of the Krebs cycle, despite misspelling 'matrix' as 'matran'. | Site of Electron transfer (ETC): 0.5/0.5 Correctly identified the inner mitochondrial membrane/cristae as the site of electron transfer. | Common pathway of respiration: 0.5/0.5 Correctly identified glycolysis as the common pathway of respiration."
821465883373,Biology,5/2,EN,What is sex linked inheritance? Mention any four sex linked disorders with their symptoms.,2.5,2.5,,NO_MARKSCOL,2.5,,,2.5,marks_col,True,True,2.5,3. The characteristics which is transferred to offspring by sex chromosome is sex linked inheritance. (i) Colour-blindness: fail to differentiated red-green. (ii) Haemophilia: Blood clotting complexities. (iii) Duchenne muscular dystrophy: Muscular dysfunction (iv) Testicular feminization: Man turns into woman.,0.95,"Definition of sex-linked inheritance: 0.5/0.5 The definition provided is accurate and concise: 'The characteristics which is transferred to offspring by sex chromosome is sex linked inheritance.' | First sex-linked disorder and symptom: 0.5/0.5 Correctly identified Colour-blindness and its symptom 'fail to differentiated red-green'. | Second sex-linked disorder and symptom: 0.5/0.5 Correctly identified Haemophilia and its symptom 'Blood clotting complexities'. | Third sex-linked disorder and symptom: 0.5/0.5 Correctly identified Duchenne muscular dystrophy and its symptom 'Muscular dysfunction'. | Fourth sex-linked disorder and symptom: 0.5/0.5 Correctly identified Testicular feminization (Androgen Insensitivity Syndrome) and provided an understandable, albeit simplified, symptom 'Man turns into woman' which describes the phenotypic outcome.",2.5,3. The characteristics which is transferred to offspring by sex chromosome is sex linked inheritance. (i) Colour-blindness: fail to differentiated red-green. (ii) Haemophilia: Blood clotting complexities. (iii) Duchenne muscular dystrophy: Muscular dysfunction (iv) Testicular feminization: Man turns into woman.,0.95,"Definition of sex-linked inheritance: 0.5/0.5 The definition provided is accurate and concise: 'The characteristics which is transferred to offspring by sex chromosome is sex linked inheritance.' | First sex-linked disorder and symptom: 0.5/0.5 Correctly identified Colour-blindness and its symptom 'fail to differentiated red-green'. | Second sex-linked disorder and symptom: 0.5/0.5 Correctly identified Haemophilia and its symptom 'Blood clotting complexities'. | Third sex-linked disorder and symptom: 0.5/0.5 Correctly identified Duchenne muscular dystrophy and its symptom 'Muscular dysfunction'. | Fourth sex-linked disorder and symptom: 0.5/0.5 Correctly identified Testicular feminization (Androgen Insensitivity Syndrome) and provided an understandable, albeit simplified, symptom 'Man turns into woman' which describes the phenotypic outcome."
229581767323,Biology,5/2,EN,Write down 5 differences between tissue culture and recombinant DNA technology.,2.5,2.5,,NO_MARKSCOL,2.5,,,2.5,marks_col,True,True,2.5,4. Tissue culture | Recombinant DNA technology i) It's very fast. | i) It's not fast. ii) No change in genotype. | ii) Changes in genotype. iii) Don't need vector. | iii) Need vector. iv) No variation produced. | iv) Variation Produced. v) Not costly. | v) Costly process.,0.95,"Difference 1: Speed of process: 0.5/0.5 Student correctly identifies tissue culture as generally faster for propagation and recombinant DNA technology as a more involved, often slower process for development. | Difference 2: Genotype alteration: 0.5/0.5 Student correctly states that tissue culture aims for no genotype change (cloning), while recombinant DNA technology inherently involves genotype changes. | Difference 3: Requirement of vector: 0.5/0.5 Student correctly identifies that tissue culture does not typically require vectors, whereas recombinant DNA technology relies on them for gene delivery. | Difference 4: Production of variation: 0.5/0.5 Student correctly notes that tissue culture aims to avoid variation, while recombinant DNA technology introduces variation. | Difference 5: Cost of process: 0.5/0.5 Student correctly identifies recombinant DNA technology as generally a more costly process than tissue culture, especially in terms of research and development.",2.5,4. Tissue culture | Recombinant DNA technology i) It's very fast. | i) It's not fast. ii) No change in genotype. | ii) Changes in genotype. iii) Don't need vector. | iii) Need vector. iv) No variation produced. | iv) Variation Produced. v) Not costly. | v) Costly process.,0.95,"Difference 1: Speed of process: 0.5/0.5 Student correctly identifies tissue culture as generally faster for propagation and recombinant DNA technology as a more involved, often slower process for development. | Difference 2: Genotype alteration: 0.5/0.5 Student correctly states that tissue culture aims for no genotype change (cloning), while recombinant DNA technology inherently involves genotype changes. | Difference 3: Requirement of vector: 0.5/0.5 Student correctly identifies that tissue culture does not typically require vectors, whereas recombinant DNA technology relies on them for gene delivery. | Difference 4: Production of variation: 0.5/0.5 Student correctly notes that tissue culture aims to avoid variation, while recombinant DNA technology introduces variation. | Difference 5: Cost of process: 0.5/0.5 Student correctly identifies recombinant DNA technology as generally a more costly process than tissue culture, especially in terms of research and development."
147621488614,Biology,5/2,EN,Write the pathway of coronary circulation. Write six names of cardiovascular diseases.,2.5,2.5,,NO_MARKSCOL,2.5,,,2.5,marks_col,True,True,1.75,2. Left ventricles -> coronary artery -> heart much -> non any liney -> Right atrium i) Annytumia ii) Heart faile iii) Cardio me party iv) Heart Attack v) Angina vi) Cardiomegaly.,0.9,"Pathway of coronary circulation: 0.25/1 The student incorrectly started the pathway from 'Left ventricles' instead of the aorta. While 'coronary artery', 'heart much' (heart muscle), and 'Right atrium' are relevant components, the sequence is largely incorrect and the venous return ('non any liney') is unclear/incorrect. Awarded minimal credit for identifying some correct terms. | Six names of cardiovascular diseases: 1.5/1.5 The student correctly listed six cardiovascular diseases: Arrhythmia (Annytumia), Heart failure (Heart faile), Cardiomyopathy (Cardio me party), Heart Attack, Angina, and Cardiomegaly. Minor spelling errors are acceptable.",1.75,2. Left ventricles -> coronary artery -> heart much -> non any liney -> Right atrium i) Annytumia ii) Heart faile iii) Cardio me party iv) Heart Attack v) Angina vi) Cardiomegaly.,0.9,"Pathway of coronary circulation: 0.25/1 The student incorrectly started the pathway from 'Left ventricles' instead of the aorta. While 'coronary artery', 'heart much' (heart muscle), and 'Right atrium' are relevant components, the sequence is largely incorrect and the venous return ('non any liney') is unclear/incorrect. Awarded minimal credit for identifying some correct terms. | Six names of cardiovascular diseases: 1.5/1.5 The student correctly listed six cardiovascular diseases: Arrhythmia (Annytumia), Heart failure (Heart faile), Cardiomyopathy (Cardio me party), Heart Attack, Angina, and Cardiomegaly. Minor spelling errors are acceptable."
845588502403,Biology,5/2,EN,Write down the chemical reaction of respiration. Mention three main significances of this process.,2.5,2.5,,NO_MARKSCOL,2.5,,,2.5,marks_col,True,True,0.75,3. CoH12O6 + 6O2 -> 6CO2 + 6H2O + Energy (36 ATP) i) A living beings get energy. ii) Transportation of nutrients. iii) Fulfilling the need of O2.,0.9,"Chemical reaction of respiration: 0.25/1.0 Incorrect chemical formula for glucose (CoH12O6 instead of C6H12O6). Water coefficient (6H2O) differs from the model solution (12H2O product, 6H2O reactant). Missing reaction conditions (enzyme/co-enzyme). | Significance 1: Energy production: 0.5/0.5 Correctly identified energy production as a significance of respiration. | Significance 2: Nutrient transportation: 0.0/0.5 Respiration provides energy for nutrient transport, but it is not the process of transport itself. This is an indirect consequence, not a direct significance of the process. | Significance 3: Fulfilling O2 need: 0.0/0.5 Respiration consumes O2, it does not fulfill the need for O2. This statement is incorrect.",1.5,3. C6H12O6 + 6O2 -> 6CO2 + 6H2O + Energy (36 ATP) (i) A living beings get energy. (ii) Transportation of nutrients. (iii) Fulfilling the need of O2.,0.9,"Chemical reaction of respiration: 1/1 The student provided a correct and balanced chemical equation for aerobic respiration, including reactants, products, and energy yield (36 ATP). | First significance of respiration: 0.5/0.5 Correctly identified energy production as a main significance of respiration. | Second significance of respiration: 0/0.5 Respiration provides energy for nutrient transport, but it is not the process of transport itself. This is an indirect consequence, not a direct significance of the respiration process. | Third significance of respiration: 0/0.5 Respiration consumes O2 (in aerobic respiration); it does not fulfill the need for O2. This statement is incorrect."
494485476898,Biology,5/2,EN,Write five identifying internal characteristics of monocot stem.,2.0,2,,NO_MARKSCOL,2.0,,,2.5,marks_col,True,True,2.5,"ci) No pericycle present. cii) xylem is Y or V shaped. ciii) No Endodermis present. civ) No stem hair present. cv) Hypodermis is made of sclerenchyma tissue. Vascular bundle is collateral, closed.",0.95,"No pericycle present.: 0.5/0.5 Correct internal characteristic of a monocot stem. | xylem is Y or V shaped.: 0.5/0.5 Correct internal characteristic of a monocot stem. | No Endodermis present.: 0.5/0.5 Correct internal characteristic of a monocot stem. | No stem hair present.: 0.0/0.5 This is an external characteristic, not an internal one as requested by the question. | Hypodermis is made of sclerenchyma tissue.: 0.5/0.5 Correct internal characteristic of a monocot stem. | Vascular bundle is collateral, closed.: 0.5/0.5 Correct internal characteristic of a monocot stem.",2.5,"ci) No pericycle present. cii) xylem is Y or V shaped. ciii) No Endodermis present. civ) No stem hair present. cv) Hypodermis is made of sclerenchyma tissue. Vascular bundle is collateral, closed.",0.95,"No pericycle present.: 0.5/0.5 Correct internal characteristic of a monocot stem. | xylem is Y or V shaped.: 0.5/0.5 Correct internal characteristic of a monocot stem. | No Endodermis present.: 0.5/0.5 Correct internal characteristic of a monocot stem. | No stem hair present.: 0.0/0.5 This is an external characteristic, not an internal one as requested by the question. | Hypodermis is made of sclerenchyma tissue.: 0.5/0.5 Correct internal characteristic of a monocot stem. | Vascular bundle is collateral, closed.: 0.5/0.5 Correct internal characteristic of a monocot stem."
