"task_id","script_id","question_no","question_type","max_mark","model","provider","n_runs","mean_total_score","total_score_min","total_score_max","total_score_range","total_score_std","mean_context_content_data","mean_structure_format_brevity","mean_language_mechanics","mean_originality_comparisons_paraphrase","mean_raw_total","performance_band_of_mean","cap_applied_rate","cap_reason_modal","is_attempted","synthesised","evidence_not_found_rate","model_version","thinking_level","rubric_hash","prompt_hash"
"CHART_001","SE_11_Q1_0001","8","Graph_Chart","10","gemini","vertex","3","6.0","6.0","6.0","0.0","0.0","2.0","2.0","1.0","1.0","6.0","Band 3","1.0","Graph_External_Facts","True","False","0.0","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","fa86707c99b449d255da2cce195d25313d2ea1dbf365f3b17ce4d9a9f98951ea"
"CHART_001","SE_11_Q1_0001","8","Graph_Chart","10","gemma","ai_studio","3","4.667","4.0","5.0","1.0","0.577","2.167","1.0","0.5","1.0","4.667","Band 2","1.0","Graph_External_Facts","True","False","1.0","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","fa86707c99b449d255da2cce195d25313d2ea1dbf365f3b17ce4d9a9f98951ea"
"CHART_002","SE_11_Q1_0002","8","Graph_Chart","10","gemini","vertex","3","7.0","7.0","7.0","0.0","0.0","3.0","2.0","1.0","1.0","7.0","Band 3","0.0","None","True","False","0.0","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","d36cc554d456e7526143afd7dc68af87460b09b4b133378dd0a48c701d902d0a"
"CHART_002","SE_11_Q1_0002","8","Graph_Chart","10","gemma","ai_studio","3","7.667","7.0","8.0","1.0","0.577","3.0","2.667","1.0","1.0","7.667","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","d36cc554d456e7526143afd7dc68af87460b09b4b133378dd0a48c701d902d0a"
"CHART_003","SE_11_Q1_0003","8","Graph_Chart","10","gemini","vertex","3","6.0","6.0","6.0","0.0","0.0","2.0","2.0","1.0","1.0","6.0","Band 3","0.0","None","True","False","0.0","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","7eeae1609833b12d156a76f3f3eb774ef22df4a03d5a6da96d0f4807ef9fa13b"
"CHART_003","SE_11_Q1_0003","8","Graph_Chart","10","gemma","ai_studio","3","5.5","4.5","6.0","1.5","0.866","2.0","1.833","0.833","0.833","5.5","Band 3","1.0","Graph_External_Facts","True","False","1.0","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","7eeae1609833b12d156a76f3f3eb774ef22df4a03d5a6da96d0f4807ef9fa13b"
"CHART_004","SE_11_Q1_0004","8","Graph_Chart","10","gemini","vertex","3","4.0","4.0","4.0","0.0","0.0","1.0","1.0","1.0","1.0","4.0","Band 2","0.333","None","True","False","0.0","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","ff85287f6ade61e119d6d1721fe03d5e8fca88ebdfa86af1e2c3dab3c00f8287"
"CHART_004","SE_11_Q1_0004","8","Graph_Chart","10","gemma","ai_studio","3","4.667","4.0","6.0","2.0","1.155","1.667","1.333","0.667","1.0","4.667","Band 2","1.0","Graph_External_Facts","True","False","0.333","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","ff85287f6ade61e119d6d1721fe03d5e8fca88ebdfa86af1e2c3dab3c00f8287"
"CHART_005","SE_11_Q1_0005","8","Graph_Chart","10","gemini","vertex","3","4.0","4.0","4.0","0.0","0.0","1.0","1.0","1.0","1.0","4.0","Band 2","0.0","None","True","False","0.0","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","74d4ea978bcefe07adfd40f190e8d1be7fa162315965c8c8b268d7df044f4c43"
"CHART_005","SE_11_Q1_0005","8","Graph_Chart","10","gemma","ai_studio","3","4.0","4.0","4.0","0.0","0.0","1.333","1.167","0.667","0.833","4.0","Band 2","0.0","None","True","False","0.667","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","74d4ea978bcefe07adfd40f190e8d1be7fa162315965c8c8b268d7df044f4c43"
"CHART_006","SE_11_Q1_0006","8","Graph_Chart","10","gemini","vertex","3","4.667","4.0","5.0","1.0","0.577","2.0","1.0","0.667","1.0","4.667","Band 2","0.0","None","True","False","0.0","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","7e1e796ea9dcfbeaf32d4129bbd367e910739cb983ac26e54da1c5917d4ab5ac"
"CHART_006","SE_11_Q1_0006","8","Graph_Chart","10","gemma","ai_studio","3","4.0","4.0","4.0","0.0","0.0","2.0","1.0","0.5","0.5","4.0","Band 2","0.0","None","True","False","1.0","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","7e1e796ea9dcfbeaf32d4129bbd367e910739cb983ac26e54da1c5917d4ab5ac"
"CHART_007","SE_11_Q1_0007","8","Graph_Chart","10","gemini","vertex","3","7.333","7.0","8.0","1.0","0.577","3.0","2.0","1.0","1.333","7.333","Band 3","0.0","None","True","False","0.333","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","c9d4346591fb09893e7d50c1515595876bc33cdbf31cbced3972ce4cc9846b31"
"CHART_007","SE_11_Q1_0007","8","Graph_Chart","10","gemma","ai_studio","3","8.0","8.0","8.0","0.0","0.0","3.0","3.0","1.0","1.0","8.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","c9d4346591fb09893e7d50c1515595876bc33cdbf31cbced3972ce4cc9846b31"
"CHART_008","SE_11_Q1_0008","8","Graph_Chart","10","gemini","vertex","3","6.0","6.0","6.0","0.0","0.0","2.333","1.667","1.0","1.0","6.0","Band 3","0.0","None","True","False","0.667","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","85a04beac66f49ee0396ea180b32d9547fe584f23193d0afd7d1eac398a24fa7"
