"run_id","task_id","model","provider","model_id","thinking_level","run_index","call_index","input_tokens","output_tokens","thoughts_tokens","cost_usd","latency_ms","attempt_number","http_status","timestamp"
"CHART_001__gemini__run0__call0","CHART_001","gemini","vertex","gemini-3.7-flash","high","0","0","4404","3660","2766","0.010471","36577","1","200","2026-08-24T20:36:20.564714+00:00"
"CHART_001__gemini__run1__call0","CHART_001","gemini","vertex","gemini-3.7-flash","high","1","0","4404","3095","2235","0.009059","26781","1","200","2026-08-24T20:36:12.955268+00:00"
"CHART_001__gemini__run2__call0","CHART_001","gemini","vertex","gemini-3.7-flash","high","2","0","4404","3125","2316","0.009134","22297","1","200","2026-08-24T20:36:35.262486+00:00"
"CHART_001__gemma__run0__call0","CHART_001","gemma","ai_studio","gemma-4-31b-it","high","0","0","4405","2046","1264","0.001054","57954","1","200","2026-08-24T20:37:18.511428+00:00"
"CHART_001__gemma__run1__call0","CHART_001","gemma","ai_studio","gemma-4-31b-it","high","1","0","4405","2470","1693","0.001182","69062","1","200","2026-08-24T20:37:44.330590+00:00"
"CHART_001__gemma__run2__call0","CHART_001","gemma","ai_studio","gemma-4-31b-it","high","2","0","4405","2871","2048","0.001302","87734","1","200","2026-08-24T20:38:11.348921+00:00"
"CHART_002__gemini__run0__call0","CHART_002","gemini","vertex","gemini-3.7-flash","high","0","0","4381","3741","2798","0.010667","25234","1","200","2026-08-24T21:06:21.598768+00:00"
"CHART_002__gemini__run1__call0","CHART_002","gemini","vertex","gemini-3.7-flash","high","1","0","4381","3523","2722","0.010122","51141","1","200","2026-08-24T21:06:48.123990+00:00"
"CHART_002__gemini__run2__call0","CHART_002","gemini","vertex","gemini-3.7-flash","high","2","0","4381","3751","2845","0.010692","23031","1","200","2026-08-24T21:06:22.835330+00:00"
"CHART_002__gemma__run0__call0","CHART_002","gemma","ai_studio","gemma-4-31b-it","high","0","0","4382","2249","1532","0.001113","62500","1","200","2026-08-24T21:35:11.734025+00:00"
"CHART_002__gemma__run1__call0","CHART_002","gemma","ai_studio","gemma-4-31b-it","high","1","0","4382","2338","1548","0.00114","82452","5","200","2026-08-24T21:07:35.569585+00:00"
"CHART_002__gemma__run2__call0","CHART_002","gemma","ai_studio","gemma-4-31b-it","high","2","0","4382","2163","1434","0.001087","69281","4","200","2026-08-24T21:07:30.881261+00:00"
"CHART_003__gemini__run0__call0","CHART_003","gemini","vertex","gemini-3.7-flash","high","0","0","4410","2944","1980","0.008683","29045","1","200","2026-08-24T21:09:26.579546+00:00"
"CHART_003__gemini__run1__call0","CHART_003","gemini","vertex","gemini-3.7-flash","high","1","0","4410","3433","2511","0.009905","21375","1","200","2026-08-24T21:09:22.113060+00:00"
"CHART_003__gemini__run2__call0","CHART_003","gemini","vertex","gemini-3.7-flash","high","2","0","4410","3588","2700","0.010293","26157","1","200","2026-08-24T21:09:31.094860+00:00"
"CHART_003__gemma__run0__call0","CHART_003","gemma","ai_studio","gemma-4-31b-it","high","0","0","4411","2215","1446","0.001106","61859","1","200","2026-08-24T21:39:50.136411+00:00"
"CHART_003__gemma__run1__call0","CHART_003","gemma","ai_studio","gemma-4-31b-it","high","1","0","4411","2753","2009","0.001267","77672","1","200","2026-08-24T21:40:18.793555+00:00"
"CHART_003__gemma__run2__call0","CHART_003","gemma","ai_studio","gemma-4-31b-it","high","2","0","4411","2751","1896","0.001266","85969","4","200","2026-08-24T21:10:48.075197+00:00"
"CHART_004__gemini__run0__call0","CHART_004","gemini","vertex","gemini-3.7-flash","high","0","0","4555","3883","3023","0.011074","26484","1","200","2026-08-24T21:12:37.998337+00:00"
"CHART_004__gemini__run1__call0","CHART_004","gemini","vertex","gemini-3.7-flash","high","1","0","4555","3891","3034","0.011094","25045","1","200","2026-08-24T21:12:39.306169+00:00"
"CHART_004__gemini__run2__call0","CHART_004","gemini","vertex","gemini-3.7-flash","high","2","0","4555","3477","2626","0.010059","22422","1","200","2026-08-24T21:12:38.506222+00:00"
"CHART_004__gemma__run0__call0","CHART_004","gemma","ai_studio","gemma-4-31b-it","high","0","0","4556","2945","2132","0.001339","91109","4","200","2026-08-24T21:13:55.714615+00:00"
"CHART_004__gemma__run1__call0","CHART_004","gemma","ai_studio","gemma-4-31b-it","high","1","0","4556","1742","958","0.000978","53921","3","200","2026-08-24T21:13:20.694461+00:00"
"CHART_004__gemma__run2__call0","CHART_004","gemma","ai_studio","gemma-4-31b-it","high","2","0","4556","2994","2200","0.001354","86718","2","200","2026-08-24T21:13:56.789434+00:00"
"CHART_005__gemini__run0__call0","CHART_005","gemini","vertex","gemini-3.7-flash","high","0","0","4334","2491","1674","0.007528","17547","1","200","2026-08-24T21:14:56.950983+00:00"
"CHART_005__gemini__run1__call0","CHART_005","gemini","vertex","gemini-3.7-flash","high","1","0","4334","2990","2141","0.008775","29625","1","200","2026-08-24T21:15:11.580908+00:00"
"CHART_005__gemini__run2__call0","CHART_005","gemini","vertex","gemini-3.7-flash","high","2","0","4334","2818","2032","0.008345","28452","1","200","2026-08-24T21:15:20.552730+00:00"
"CHART_005__gemma__run0__call0","CHART_005","gemma","ai_studio","gemma-4-31b-it","high","0","0","4335","2520","1736","0.00119","70172","1","200","2026-08-24T21:46:56.821272+00:00"
"CHART_005__gemma__run1__call0","CHART_005","gemma","ai_studio","gemma-4-31b-it","high","1","0","4335","2551","1758","0.001199","72108","1","200","2026-08-24T21:48:03.936954+00:00"
"CHART_005__gemma__run2__call0","CHART_005","gemma","ai_studio","gemma-4-31b-it","high","2","0","4335","2005","1236","0.001035","56312","1","200","2026-08-24T21:47:53.135434+00:00"
"CHART_006__gemini__run0__call0","CHART_006","gemini","vertex","gemini-3.7-flash","high","0","0","4392","3992","3017","0.011298","26515","1","200","2026-08-24T22:04:19.268094+00:00"
"CHART_006__gemini__run1__call0","CHART_006","gemini","vertex","gemini-3.7-flash","high","1","0","4392","3249","2363","0.00944","22468","1","200","2026-08-24T22:04:29.589766+00:00"
"CHART_006__gemini__run2__call0","CHART_006","gemini","vertex","gemini-3.7-flash","high","2","0","4392","2776","1965","0.008258","23500","1","200","2026-08-24T22:04:40.691048+00:00"
