"task_id","script_id","question_no","question_type","max_mark","model","provider","run_index","raw_context_content_data","raw_structure_format_brevity","raw_language_mechanics","raw_originality_comparisons_paraphrase","raw_total","context_content_data","structure_format_brevity","language_mechanics","originality_comparisons_paraphrase","total_score","capped_from","cap_applied","applied_cap_reason","performance_band","is_attempted","synthesised","context_content_data_rationale","structure_format_brevity_rationale","language_mechanics_rationale","originality_comparisons_paraphrase_rationale","context_content_data_evidence","structure_format_brevity_evidence","language_mechanics_evidence","originality_comparisons_paraphrase_evidence","evidence_not_found","frequent_errors","positive_aspects","feedback_summary","model_version","thinking_level","rubric_hash","prompt_hash","timestamp"
"CHART_001","SE_11_Q1_0001","8","Graph_Chart","10","gemini","vertex","0","2","2","1","1","6","2","2","1","1","6","6","True","Graph_External_Facts","Band 3","True","False","The candidate reports all five data points from the chart and identifies the highest (Coal) and lowest (Nuclear) sources, though there is an initial garbled mix-up of data before clarifying.","An introductory sentence and sequential presentation are present, but the script is divided into two paragraphs and introduces an external moralistic conclusion not present in the data, triggering the external facts cap.","The script contains multiple spelling errors, fused/run-on sentences, and phrasing inaccuracies that impede fluency.","Comparative phrasing is simple and repetitive ('highest', 'second highest option', 'least used one') with basic sentence structures.","Coal which was the highest 46% of the total sources. It was the highest demand for generating electricity. After that Natural gas the second highest option for generating electricity which was 24%.","So, we can make a col conclusion that they stued so much non-renewal energy which are limited in nature. If we want to save these natural ressource we should increase the use of renewabl enery.","In the given pie-chart we can see that the sources of the USA electricity in 1980 In 1980 The main sourcee of generation electricity in USA was 41% Natural gas Coal which was the highest 46%","Then it was Hydro-electric powere which was 16% of total. 12% electricity was generated from oil. A Now the least used one was Nuclear only 2%.","","Frequent spelling mistakes ('sourcee', 'powere', 'stued', 'ressource', 'renewabl enery');Run-on sentence structures and missing punctuation in the opening lines;Incorporation of outside knowledge and prescriptive recommendations (renewable vs. non-renewable energy) not shown in the chart","Correctly extracts and reports all five categories with accurate percentages;Clearly identifies the highest and lowest electricity generation sources","The script covers all data points from the chart and correctly highlights the maximum and minimum sources of electricity generation. However, it suffers from noticeable mechanical errors, typos, and run-on phrasing. Crucially, the final paragraph introduces external opinions and conservation advice not present in the chart, invoking the Graph/Chart hard cap of 6.","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","fa86707c99b449d255da2cce195d25313d2ea1dbf365f3b17ce4d9a9f98951ea","2026-08-24T20:36:20.564714+00:00"
"CHART_001","SE_11_Q1_0001","8","Graph_Chart","10","gemini","vertex","1","2","2","1","1","6","2","2","1","1","6","6","True","Graph_External_Facts","Band 3","True","False","The candidate captures all the data points from the chart (Coal 46%, Natural gas 24%, Hydro-electric 16%, Oil 12%, Nuclear 2%) and correctly identifies the highest and lowest sources. However, an unedited false start ('41% Natural gas Coal') slightly impacts precision.","The script opens with an overview sentence and organizes data sequentially. However, it introduces an unwarranted personal/moral conclusion about renewable energy in a separate paragraph, which violates the requirement for strict objective data reporting.","Multiple spelling errors ('sourcee', 'powere', 'stued', 'ressource', 'renewabl', 'enery') and punctuation/run-on issues ('in 1980 In 1980 The main', 'A Now the least') are present throughout the text.","Basic comparative phrases ('highest', 'second highest', 'least used') are used to structure the report, but transitions remain elementary and repetitive.","Coal which was the highest 46% of the total sources.","If we want to save these natural ressource we should increase the use of renewabl enery.","The main sourcee of generation electricity in USA was 41% Natural gas Coal which was the highest 46% of the total sources.","After that Natural gas the second highest option for generating electricity which was 24%.","","Spelling errors (e.g., 'sourcee', 'powere', 'ressource', 'renewabl enery');Inclusion of external opinions and recommendations not present in the graph;Run-on sentences and unedited false starts","All five statistical categories from the pie chart are accurately cited;Correctly identifies the peak (coal) and trough (nuclear) categories","The candidate successfully covers all statistical points and highlights the highest and lowest energy sources. However, the response includes an extraneous moral conclusion recommending renewable energy, which triggers the mandatory hard cap of 6 for external opinions/facts. Frequent spelling and mechanical errors also keep the raw score at the Band 3 level.","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","fa86707c99b449d255da2cce195d25313d2ea1dbf365f3b17ce4d9a9f98951ea","2026-08-24T20:36:12.955268+00:00"
"CHART_001","SE_11_Q1_0001","8","Graph_Chart","10","gemini","vertex","2","2","2","1","1","6","2","2","1","1","6","6","True","Graph_External_Facts","Band 3","True","False","The candidate captures the primary data points from the chart (Coal 46%, Natural gas 24%, Hydro-electric 16%, Oil 12%, Nuclear 2%) and notes the highest and lowest, though introduces initial confusion with a scrambled figure.","A general overview and ranked sequence are present, but the candidate adds an external opinion/moral conclusion paragraph not provided in the chart, triggering the Graph_External_Facts cap.","Contains multiple spelling errors, missing punctuation, and syntax slips throughout the text.","Comparative vocabulary is basic and functional ('highest', 'second highest', 'least used') without more advanced analytical connectors.","Coal which was the highest 46% of the total sources.","If we want to save these natural ressource we should increase the use of renewabl enery.","The main sourcee of generation electricity in USA was 41% Natural gas Coal","After that Natural gas the second highest option for generating electricity which was 24%.","","Spelling errors (e.g., 'sourcee', 'powere', 'ressource', 'renewabl enery', 'stued');Run-on sentences and punctuation omissions;Inclusion of external commentary/moral advice in a data report","Accurately reports the full range of data points from the chart;Organises data logically from highest share to lowest share;Identifies the extremes (peaks and troughs) correctly","The script successfully covers all data points and highlights the highest and lowest energy sources in 1980. However, it suffers from several spelling and grammatical errors, and includes an external opinion/recommendation about renewable energy in the concluding lines. Under NCTB assessment guidelines for graph/chart interpretation, the inclusion of external facts or personal opinions mandates a hard cap of 6 marks.","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","fa86707c99b449d255da2cce195d25313d2ea1dbf365f3b17ce4d9a9f98951ea","2026-08-24T20:36:35.262486+00:00"
"CHART_001","SE_11_Q1_0001","8","Graph_Chart","10","gemma","ai_studio","0","2","1","1","1","5","2","1","1","1","5","5","True","Graph_External_Facts","Band 2","True","False","The candidate correctly identifies all five data points from the chart, although there is a confusing typo ('41% Natural gas Coal') in the opening sentence.","The response includes a basic introduction, but it fails the structural requirement by including personal moral judgments and environmental advice not found in the data.","There is a high density of spelling errors and several fragmented sentences lacking main verbs.","The candidate uses basic comparative terminology ('highest', 'second highest', 'least used'), but the vocabulary is simplistic and lacks analytical depth.","Coal which was the highest 46% of the total sources. ... Natural gas ... 24%. ... Hydro-electric powere which was 16% ... 12% electricity was generated from oil. ... Nuclear only 2%","If we want to save these natural ressource we should increase the use of renewabl enery.","sourcee of generation electricity... powere... col conclusion... stued so much non-renewal energy","the second highest option for generating electricity","context_content_data;language_mechanics","Spelling (sourcee, powere, ressource, renewabl);Sentence fragmentation;Inclusion of external opinions/moralizing","Accurate extraction of numerical data;Clear identification of the highest and lowest values","The candidate successfully extracted the numerical data from the chart. However, the score is significantly hindered by a high frequency of spelling and grammatical errors. More importantly, the student included a concluding paragraph containing personal opinions and moral judgments regarding renewable energy; per the rubric, this triggers a structural cap (max 6), although the raw quality of the writing already placed the score below that threshold. To improve, the candidate should focus on purely objective description and basic spelling accuracy.","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","fa86707c99b449d255da2cce195d25313d2ea1dbf365f3b17ce4d9a9f98951ea","2026-08-24T20:37:18.511428+00:00"
"CHART_001","SE_11_Q1_0001","8","Graph_Chart","10","gemma","ai_studio","1","2","1","0","1","4","2","1","0","1","4","4","True","Graph_External_Facts","Band 2","True","False","The candidate accurately identifies all data points from the chart, including the peak (Coal) and the trough (Nuclear), though the phrasing is clumsy.","The script includes a rudimentary introductory phrase but fails the structural requirement by including a concluding paragraph filled with personal opinions and moral judgments regarding renewable energy.","There is a very high density of spelling errors and severe syntactic breakdowns. Multiple sentences are fragmented or grammatically incoherent.","Comparative language is limited to basic superlatives (highest, second highest, least). There is no use of sophisticated analytical vocabulary.","Coal which was the highest 46% of the total sources... Natural gas the second highest... 24%... Nuclear only 2%","So, we can make a col conclusion that they stued so much non-renewal energy which are limited in nature.","sourcee of generation electricity in USA was 41% Natural gas Coal... col conclusion that they stued... renewabl enery","the second highest option for generating electricity","context_content_data;language_mechanics","Spelling (sourcee, powere, ressource, renewabl);Syntactic fragmentation;Inclusion of prohibited personal opinion","Accurate data extraction;Identification of highest and lowest values","The candidate successfully extracted all data points from the chart; however, the script is marred by pervasive linguistic errors and a critical structural failure. By including a moral conclusion about renewable energy, the candidate violated the core constraint of a Graph/Chart description (no personal opinions). Due to the high error density and basic comparative vocabulary, the script falls into Band 2. The structural cap of 6 was triggered, but since the merit score was already 4, the total score remains 4.","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","fa86707c99b449d255da2cce195d25313d2ea1dbf365f3b17ce4d9a9f98951ea","2026-08-24T20:37:44.330590+00:00"
"CHART_001","SE_11_Q1_0001","8","Graph_Chart","10","gemma","ai_studio","2","2.5","1","0.5","1","5","2.5","1","0.5","1","5","5","True","Graph_External_Facts","Band 2","True","False","The student correctly identifies all data points from the chart (46%, 24%, 16%, 12%, 2%), although the first sentence is phrased confusingly.","The candidate included a concluding paragraph containing personal opinions and moral judgments about renewable energy, which is strictly forbidden in this task type.","There is a high density of spelling errors ('sourcee', 'powere', 'col', 'stued', 'ressource', 'renewabl') and significant syntax issues.","The student uses basic comparative language ('highest', 'second highest', 'least used') but fails to use more sophisticated analytical vocabulary.","Coal which was the highest 46% of the total sources... Natural gas... 24%... Hydro-electric powere which was 16%... 12% electricity was generated from oil... Nuclear only 2%","So, we can make a col conclusion that they stued so much non-renewal energy which are limited in nature. If we want to save these natural ressource we should increase the use of renewabl enery.","The main sourcee of generation electricity in USA was 41% Natural gas Coal","the second highest option for generating electricity","context_content_data","Orthographic/Spelling errors;Inclusion of personal opinion in data analysis;Syntax breakdown","Accurate reporting of all numerical data points;Correct identification of the hierarchy (highest to lowest)","The candidate successfully extracted all numerical data from the chart and presented them in descending order. However, the score is heavily penalized due to the inclusion of a concluding paragraph containing personal opinions on renewable energy, which violates the structural requirements of a graph description. Furthermore, the script is marred by pervasive spelling errors and weak grammatical control, placing it firmly in Band 2.","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","fa86707c99b449d255da2cce195d25313d2ea1dbf365f3b17ce4d9a9f98951ea","2026-08-24T20:38:11.348921+00:00"
"CHART_002","SE_11_Q1_0002","8","Graph_Chart","10","gemini","vertex","0","3","2","1","1","7","3","2","1","1","7","7","False","None","Band 3","True","False","The candidate captures all five energy sources accurately without omitting any data points or introducing outside speculative facts. The data is logically ordered from the largest contributor (Coal at 46%) to the smallest (Nuclear at 2%).","The response includes a clear introductory statement, a grouped analytical body, and a summary conclusion. However, structural fluency is hindered by several dependent-clause sentence fragments.","Multiple mechanical defects are present, including sentence fragments beginning with 'which', inconsistent tense shifting between past and present ('was', 'is', 'produce'), spelling errors ('Accroding'), missing articles/linking verbs ('also a important sector'), and missing terminal punctuation.","The script attempts useful comparative language (e.g., 'nearly half of the chart', 'second highest source', 'respectively'), but relies on basic syntax and awkward phrasing rather than varied analytical transitions.","burning coal. which rate was 46%, nearly half of the chart. Natural gas consumption gives second highest source for produce electricity which is 24%, Moreover, hydro electric power plant produce 16% percent electricity in USA. Oil and Nuclear power plants also a important sector to supply electricity. which rate is respectively 12% and 2%","The pie chart illustrates the sources of USA electricity in 1980.","which rate was 46%, nearly half of the chart. Natural gas consumption gives second highest source for produce electricity which is 24%, Moreover, hydro electric power plant produce 16% percent electricity in USA. Oil and Nuclear power plants also a important sector to supply electricity. which rate is respectively 12% and 2% From the chart","Natural gas consumption gives second highest source for produce electricity which is 24%","","Sentence fragments beginning with relative clauses ('which rate was...', 'which rate is...');Tense inconsistency (shifting arbitrarily between past and simple present);Subject-verb agreement and article errors ('plant produce', 'a important sector');Punctuation faults (missing period before 'From', redundant '16% percent')","Complete and accurate representation of all 5 data values from the chart;Good sequencing from most significant to least significant electricity source;Appropriate introductory sentence and final concluding remark","The script demonstrates sound data comprehension by accurately extracting and reporting all statistics from the pie chart with a logical hierarchical flow. However, mechanical weaknesses—specifically recurring sentence fragments, punctuation lapses, and inconsistent tense usage—prevent it from reaching Band 4.","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","d36cc554d456e7526143afd7dc68af87460b09b4b133378dd0a48c701d902d0a","2026-08-24T21:06:21.598768+00:00"
"CHART_002","SE_11_Q1_0002","8","Graph_Chart","10","gemini","vertex","1","3","2","1","1","7","3","2","1","1","7","7","False","None","Band 3","True","False","All five data points from the chart are accurately captured and correctly attributed (Coal 46%, Natural gas 24%, Hydro 16%, Oil 12%, Nuclear 2%), correctly highlighting coal as the predominant source.","Features an effective introductory statement and a concluding observation summarizing the main contributors, though the body organization is somewhat sequential rather than analytically grouped.","Contains multiple mechanical and grammatical errors, including sentence fragments starting with relative pronouns, subject-verb agreement slips, tense inconsistency for historical 1980 data, spelling mistakes, and missing punctuation.","Includes basic comparative phrasing such as 'nearly half' and 'second highest source', but lacks varied and advanced comparative syntactical structures.","which rate was 46%, nearly half of the chart. Natural gas consumption gives second highest source for produce electricity which is 24%","The pie chart illustrates the sources of USA electricity in 1980.","which rate was 46%, nearly half of the chart.","Natural gas consumption gives second highest source for produce electricity which is 24%","","Sentence fragments starting with relative pronouns (e.g., '. which rate was 46%');Tense inconsistency when reporting 1980 historical data (mixing present and past tenses);Spelling and article errors (e.g., 'Accroding', 'a important sector')","Accurate reporting of all statistical figures from the prompt;Clear introductory and concluding overview framing the data;Effective use of analytical descriptors like 'nearly half' and 'second highest'","The candidate successfully reports all chart figures accurately and frames the analysis with a clear introduction and conclusion. However, the score is constrained by grammatical flaws, sentence fragments beginning with relative pronouns, inconsistent tense usage for past data, and basic comparative vocabulary.","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","d36cc554d456e7526143afd7dc68af87460b09b4b133378dd0a48c701d902d0a","2026-08-24T21:06:48.123990+00:00"
"CHART_002","SE_11_Q1_0002","8","Graph_Chart","10","gemini","vertex","2","3","2","1","1","7","3","2","1","1","7","7","False","None","Band 3","True","False","All data points from the chart are accurately captured (Coal 46%, Natural gas 24%, Hydro-electric 16%, Oil 12%, Nuclear 2%) with correct identification of the highest and second-highest sources without introducing external facts.","The response features an introductory overview, an analytical body grouping the major and minor energy sources, and a concluding synthesis in a single paragraph, though structural cohesion is slightly weakened by fragmented sentence boundaries.","Multiple grammatical issues are present, including sentence fragments starting with relative pronouns, spelling errors, tense shifts between past and present, redundant unit phrasing, and article omissions.","The candidate makes an effort to use comparative terms such as 'nearly half', 'second highest', and 'respectively', but the overall phrasing remains basic and somewhat awkward.","in 1980 most percentage of electricity in USA comes from burning coal. which rate was 46%, nearly half of the chart. Natural gas consumption gives second highest source for produce electricity which is 24%","The pie chart illustrates the sources of USA electricity in 1980.","Accroding to the chart, we can see that in 1980 most percentage of electricity in USA comes from burning coal. which rate was 46%","which rate was 46%, nearly half of the chart. Natural gas consumption gives second highest source","","Sentence fragments beginning with 'which' ('which rate was 46%', 'which rate is respectively 12% and 2%');Spelling error ('Accroding');Tense and preposition errors ('comes', 'for produce electricity');Article and agreement errors ('also a important sector', 'hydro electric power plant produce')","100% accurate representation of all five data categories and their exact values;Effective proportional interpretation ('nearly half of the chart', 'second highest source');Clear three-part analytical structure (introduction, body, conclusion) adhering strictly to chart data","The candidate accurately reported and interpreted all data points from the chart without deviating into outside facts or opinions. The response maintains an appropriate analytical structure with an introduction and a concluding overview. However, the score is held in Band 3 due to noticeable mechanical errors, including relative clause sentence fragments, inconsistent tense control, and minor spelling slips.","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","d36cc554d456e7526143afd7dc68af87460b09b4b133378dd0a48c701d902d0a","2026-08-24T21:06:22.835330+00:00"
"CHART_002","SE_11_Q1_0002","8","Graph_Chart","10","gemma","ai_studio","0","3","2","1","1","7","3","2","1","1","7","7","False","None","Band 3","True","False","The candidate accurately identified and reported all data points from the chart without omission or error.","The response follows the required format with an introductory overview and a concluding summary, although the flow is disrupted by fragmented sentences.","High error density including spelling mistakes, incorrect article usage, and frequent punctuation errors leading to sentence fragments.","Basic but effective comparative terms are used to establish the hierarchy of the data sources.","which rate was 46%... Natural gas consumption... 24%, Moreover, hydro electric power plant produce 16%... Oil and Nuclear power plants... 12% and 2%","The pie chart illustrates the sources of USA electricity in 1980.","Accroding to the chart... source for produce electricity... also a important sector","second highest source... respectively... most powerful sector","context_content_data;language_mechanics;originality_comparisons_paraphrase","Sentence fragmentation;Spelling errors (e.g., 'Accroding');Subject-verb agreement/Article errors","Precise data reporting;Correct identification of the primary trend;Adherence to structural requirements","The student demonstrated a strong ability to extract and present data accurately from the chart, ensuring all sources were mentioned. The structural layout is correct, including an introduction and a concluding analysis. However, the overall quality is hampered by significant grammatical issues, specifically the use of sentence fragments and poor syntax, which prevents the script from reaching Band 4.","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","d36cc554d456e7526143afd7dc68af87460b09b4b133378dd0a48c701d902d0a","2026-08-24T21:35:11.734025+00:00"
