"task_id","script_id","question_no","question_type","max_mark","model","provider","run_index","raw_context_content_data","raw_structure_format_brevity","raw_language_mechanics","raw_originality_comparisons_paraphrase","raw_total","context_content_data","structure_format_brevity","language_mechanics","originality_comparisons_paraphrase","total_score","capped_from","cap_applied","applied_cap_reason","performance_band","is_attempted","synthesised","context_content_data_rationale","structure_format_brevity_rationale","language_mechanics_rationale","originality_comparisons_paraphrase_rationale","context_content_data_evidence","structure_format_brevity_evidence","language_mechanics_evidence","originality_comparisons_paraphrase_evidence","evidence_not_found","frequent_errors","positive_aspects","feedback_summary","model_version","thinking_level","rubric_hash","prompt_hash","timestamp"
"CHART_001","SE_11_Q1_0001","8","Graph_Chart","10","gemini","vertex","0","2","2","1","1","6","2","2","1","1","6","6","True","Graph_External_Facts","Band 3","True","False","All core data values from the chart are represented (Coal 46%, Natural Gas 24%, Hydro-electric 16%, Oil 12%, Nuclear 2%), though there is minor initial confusion/redundancy with numbers.","Includes an introductory lead sentence and presents data systematically, but violates task neutrality and brevity by splitting into a second paragraph containing external moral advice and opinions.","Contains multiple mechanical errors including spelling mistakes, missing verbs, awkward phrasing, and punctuation flaws.","Employs basic comparative phrases ('highest', 'second highest option', 'least used') to contrast the figures, though transitions remain repetitive and formulaic.","The main sourcee of generation electricity in USA was 41% Natural gas Coal which was the highest 46% of the total sources.","So, we can make a col conclusion that they stued so much non-renewal energy which are limited in nature. If we want to save these natural ressource we should increase the use of renewabl enery.","After that Natural gas the second highest option for generating electricity which was 24%. Then it was Hydro-electric powere which was 16% of total.","After that Natural gas the second highest option for generating electricity which was 24%. Then it was Hydro-electric powere which was 16% of total. 12% electricity was generated from oil. A Now the least used one was Nuclear only 2%.","","Spelling errors (sourcee, powere, stued, ressource, renewabl enery);Omission of main verb in comparative clauses;Inclusion of external moral opinions and non-chart facts","Accurately captures the highest (Coal) and lowest (Nuclear) energy sources;Follows a logical descending order in data reporting","The candidate captures all relevant data points from the chart and correctly identifies the maximum and minimum sources. However, the response includes unprompted external opinions and conservation advice in a separate concluding paragraph, which invokes the external facts hard cap of 6. Language mechanics also show frequent spelling and structural slips.","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","8c985728e08f54b7bd01e854b7082f8be18017afc956b5b212bde2c4dabd529c","2026-08-24T18:07:50.587011+00:00"
"CHART_001","SE_11_Q1_0001","8","Graph_Chart","10","gemini","vertex","1","2","2","1","1","6","2","2","1","1","6","6","True","Graph_External_Facts","Band 3","True","False","The candidate captures all key data points (Coal 46%, Natural Gas 24%, Hydro 16%, Oil 12%, Nuclear 2%) and correctly identifies the highest and lowest sources, though initial phrasing contains garbled text ('41% Natural gas Coal').","An introductory sentence is present and data is organized hierarchically from highest to lowest, but the student introduces an inappropriate concluding paragraph containing external moral advice and recommendations.","Frequent spelling errors ('sourcee', 'powere', 'stued', 'ressource', 'renewabl enery'), missing verbs, and punctuation/run-on issues noticeably impede fluency.","Basic comparative markers ('highest', 'second highest', 'least used') are used to sequence the data, but overall sentence structures remain rudimentary and repetitive.","Coal which was the highest 46% of the total sources... Now the least used one was Nuclear only 2%.","If we want to save these natural ressource we should increase the use of renewabl enery.","After that Natural gas the second highest option for generating electricity which was 24%.","After that Natural gas the second highest option for generating electricity which was 24%. Then it was Hydro-electric powere which was 16% of total.","context_content_data","Spelling errors (sourcee, powere, stued, ressource, renewabl enery);Inclusion of external opinions/moral recommendations in a factual graph description;Run-on and fragmented sentence structures","Accurately included all data points from the chart;Correctly identified peaks (Coal) and troughs (Nuclear)","The script correctly identifies all five energy sources and highlights the highest and lowest contributors. However, it incorporates external moral judgment and policy recommendations in the conclusion, invoking the Graph/Chart standalone cap (maximum 6). Language mechanics are compromised by frequent spelling slips and fragmented syntax, placing the response at the base of Band 3 with 6 marks.","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","8c985728e08f54b7bd01e854b7082f8be18017afc956b5b212bde2c4dabd529c","2026-08-24T20:08:01.874911+00:00"
"CHART_001","SE_11_Q1_0001","8","Graph_Chart","10","gemini","vertex","2","3","2","1","1","7","3","2","1","1","6","7","True","Graph_External_Facts","Band 3","True","False","The script accurately reports all five data points from the chart (Coal 46%, Natural gas 24%, Hydro-electric 16%, Oil 12%, Nuclear 2%) and correctly identifies the maximum and minimum sources.","An introductory lead is provided and data is arranged in a logical sequence, but the response deviates into external opinions and moralizing advice in a second paragraph.","Frequent spelling errors ('sourcee', 'powere', 'ressource', 'renewabl', 'enery', 'stued') and punctuation/run-on faults in the opening sentences significantly affect grammatical accuracy.","Basic comparative language is demonstrated ('highest', 'second highest', 'least used'), but sentence structures and linking devices remain rudimentary.","Coal which was the highest 46% of the total sources. It was the highest demand for generating electricity.","If we want to save these natural ressource we should increase the use of renewabl enery.","In 1980 The main sourcee of generation electricity in USA was 41% Natural gas Coal which was the highest 46%","After that Natural gas the second highest option for generating electricity which was 24%.","","Spelling errors (sourcee, powere, ressource, renewabl, enery, stued);Run-on sentences and punctuation slips in the lead section;Inclusion of personal opinion and external recommendations not present in the chart","All five numerical values from the chart are accurately captured;Clear identification of highest and lowest categories;Logical ranking from highest contributor to lowest","The candidate captures all factual data points accurately and orders the information logically from highest to lowest. However, the script contains notable mechanical errors in spelling and punctuation, and includes external commentary/moral advice on renewable energy, triggering the mandatory hard cap of 6 marks for graph/chart tasks.","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","8c985728e08f54b7bd01e854b7082f8be18017afc956b5b212bde2c4dabd529c","2026-08-24T20:08:21.277075+00:00"
"CHART_001","SE_11_Q1_0001","8","Graph_Chart","10","gemma","ai_studio","0","3","2","1","1","7","3","2","1","1","6","7","True","Graph_External_Facts","Band 3","True","False","The candidate accurately identifies all data points from the chart (Coal 46%, Natural Gas 24%, Hydro 16%, Oil 12%, Nuclear 2%) and correctly identifies the peak and trough.","The response contains a lead sentence and groups data logically from highest to lowest, but loses marks for including a concluding paragraph that violates the 'no personal opinion' constraint of a graph description.","There is high error density in spelling ('sourcee', 'powere', 'ressource', 'renewabl') and awkward syntax/confusion in the first paragraph ('was 41% Natural gas Coal which was the highest 46%').","The candidate uses basic comparative terms such as 'highest', 'second highest', and 'least used', but lacks more sophisticated analytical vocabulary.","Coal which was the highest 46%... Natural gas... 24%... Hydro-electric powere which was 16%... 12% electricity was generated from oil... Nuclear only 2%","In the given pie-chart we can see that the sources of the USA electricity in 1980","they stued so much non-renewal energy which are limited in nature","the second highest option for generating electricity which was 24%","context_content_data","Spelling errors (phonetic misspelling);Inclusion of external moral judgment;Syntactic confusion in data introduction","Accurate data extraction;Correct identification of trends (highest/lowest)","The candidate successfully extracted and reported all numerical data from the chart. However, the script is heavily marred by spelling mistakes and grammatical slips. Most significantly, the candidate included a concluding paragraph offering a moral judgment on renewable energy; according to the rubric, the inclusion of personal opinions or external facts results in a hard cap of 6 marks. The raw score of 7 is therefore reduced to 6.","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","8c985728e08f54b7bd01e854b7082f8be18017afc956b5b212bde2c4dabd529c","2026-08-24T18:08:51.867745+00:00"
"CHART_001","SE_11_Q1_0001","8","Graph_Chart","10","gemma","ai_studio","1","2","1","1","1","5","2","1","1","1","5","5","True","Graph_External_Facts","Band 2","True","False","The candidate correctly identifies all five data points and the highest/lowest values, but the introductory sentence is contradictory and contains a value (41%) not present in the chart.","The response includes an overview and data grouping, but fails the 'ZERO personal opinion' requirement by adding a concluding paragraph regarding renewable energy and conservation.","Significant spelling and syntax errors are present throughout the text, particularly in the second paragraph.","Basic comparative vocabulary is used to distinguish the data points, though it lacks sophistication.","The main sourcee of generation electricity in USA was 41% Natural gas Coal which was the highest 46%","If we want to save these natural ressource we should increase the use of renewabl enery.","col conclusion that they stued so much non-renewal energy","the second highest option for generating electricity","","Spelling errors (stued, ressource, renewabl);Syntax/Phrasing issues;Inclusion of external moral judgments","Accurate extraction of all numerical values;Correct identification of highest and lowest trends","The candidate successfully extracted all data from the chart but struggled with linguistic precision. The score is limited by poor spelling and a severe structural violation: the inclusion of personal opinions and external facts about renewable energy, which is strictly forbidden in chart descriptions. While a hard cap of 6 was applicable due to these external facts, the raw merit of the writing falls to 5 due to language mechanics and structural failures.","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","8c985728e08f54b7bd01e854b7082f8be18017afc956b5b212bde2c4dabd529c","2026-08-24T20:09:20.948349+00:00"
"CHART_001","SE_11_Q1_0001","8","Graph_Chart","10","gemma","ai_studio","2","3","2","1","1","7","3","2","1","1","6","7","True","Graph_External_Facts","Band 3","True","False","The candidate accurately identifies and reports every data point provided in the chart, including all five energy sources and their corresponding percentages.","The response follows a basic structure with an intro and conclusion; however, the conclusion deviates from the data to offer moral judgments and external facts.","There is a high density of spelling errors and awkward syntactical constructions that hinder the professional tone of the report.","The candidate uses very basic comparative descriptors (highest, second highest, least) but lacks the sophisticated analytical vocabulary required for higher bands.","Coal which was the highest 46%... Natural gas... 24%... Hydro-electric powere which was 16%... 12% electricity was generated from oil... Nuclear only 2%.","So, we can make a col conclusion that they stued so much non-renewal energy which are limited in nature.","sourcee of generation electricity... col conclusion... stued... renewabl enery","the second highest option for generating electricity","context_content_data;language_mechanics","Orthographic errors (spelling);Inclusion of external moral judgments/opinions;Basic/repetitive vocabulary","Perfect data accuracy;Clear identification of the highest and lowest points","The candidate demonstrated a strong ability to extract and report the data points accurately. However, the writing is marred by frequent spelling mistakes ('sourcee', 'stued', 'renewabl'). Most significantly, the inclusion of a concluding paragraph offering personal opinions and external facts about non-renewable energy violates the strict requirements for graph descriptions, resulting in a hard cap of 6 marks.","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","8c985728e08f54b7bd01e854b7082f8be18017afc956b5b212bde2c4dabd529c","2026-08-24T20:09:22.513478+00:00"
"LETTER_001","SE_11_Q1_0001","10","Letter_Email","5","gemini","vertex","0","1","2","0","1","4","1","2","0","1","4","4","False","None","Band 4","True","False","The letter clearly and directly addresses the prompt by explaining the candidate's specific post-HSC plan to pursue freelancing and learn digital skills.","All required informal letter structural components are present and correctly positioned (heading with address/date, salutation, body paragraphs, complimentary close, signature, and postal envelope layout).","The writing contains multiple spelling errors ('beggining', 'self-relient'), faulty contraction/punctuation ('I'am', 'Your's ever'), and incorrect sentence punctuation (periods fragmenting list items and unneeded colons).","The candidate presents an authentic and modern idea (skill development in AI, video editing, graphic design for financial independence) rather than relying wholly on standard memorized letter clichés.","After my HSC Exam I will get a lot of free time which I am thinking to use for freelancing.","Jatrabari, Dhaka-1204
27-06-2026

Dear Saiful,","such as video editing.  graphic design, AI work and many more other works :","There are so many works which can be done in Freelancing. such as video editing.  graphic design, AI work and many more other works","","Spelling errors (e.g., 'beggining', 'self-relient');Faulty punctuation and contraction usage (e.g., 'I'am', 'Your's');Sentence fragmentation and improper full stop usage before listing items","Complete and accurate informal letter structure including envelope box;Direct response to the prompt with relevant and realistic future plans","The candidate has produced a well-structured informal letter containing all standard layout elements (date, address, salutation, body, close, signature, and envelope). The content directly answers the prompt with authentic post-HSC plans. However, several mechanical errors in spelling and punctuation prevent the script from achieving the full 5 marks, placing it appropriately at the baseline of Band 4.","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","11149c364f116c540ed2fa80e5e2d31f4b081f57668961df2d4067775140f015","2026-08-24T20:11:26.161159+00:00"
"LETTER_001","SE_11_Q1_0001","10","Letter_Email","5","gemini","vertex","1","1","2","0","1","4","1","2","0","1","4","4","False","None","Band 4","True","False","The candidate immediately addresses the prompt by discussing clear post-HSC plans involving freelancing and developing digital skills.","All essential informal letter layout components are fully present and accurately positioned: sender's address, date, salutation, body, complimentary close, signature, and envelope.","Multiple spelling mistakes, faulty punctuation, and incorrect apostrophe usages occur throughout the letter, preventing full marks in mechanics.","The response features genuine and contemporary personal thoughts regarding freelancing, AI, and graphic design rather than reciting a rigid memorized template.","After my HSC Exam I will get a lot of free time which I am thinking to use for freelancing.","Jatrabari, Dhaka-1204
27-06-2026

Dear Saiful,","At the beggining of the letter take my salam and the best wishes from the core of my heart","There are so many works which can be done in Freelancing. such as video editing.  graphic design, AI work and many more other works :","","Spelling errors (e.g., 'beggining', 'self-relient');Apostrophe misuse in contractions and possessives (e.g., 'I\'am', 'Your\'s');Punctuation and run-on/fragmented sentences (e.g., 'Freelancing. such as', 'works :')","Complete and accurate layout structure with all 6 components and envelope included;Engaging and modern subject-matter relevant to the prompt","The letter follows all formal structural conventions required for an informal letter and addresses the prompt directly with relevant, contemporary ideas. However, multiple mechanical issues—such as spelling errors, incorrect apostrophe placements, and sentence fragments—limit the mechanics score, placing the script at the baseline of Band 4.","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","11149c364f116c540ed2fa80e5e2d31f4b081f57668961df2d4067775140f015","2026-08-24T20:10:48.665048+00:00"
"LETTER_001","SE_11_Q1_0001","10","Letter_Email","5","gemini","vertex","2","1","2","0","1","4","1","2","0","1","4","4","False","None","Band 4","True","False","The candidate directly fulfills the prompt by outlining a specific and relevant post-HSC plan (freelancing in graphic design, video editing, and AI work).","All essential structural elements of an informal letter are present and accurately placed: sender address, date, salutation, body paragraphs, complimentary close, signature, and envelope stamp box.","The script contains multiple mechanical inaccuracies, including spelling slips ('beggining', 'self-relient'), punctuation/apostrophe errors ('I'am', 'Your's'), and fragmented punctuation.","The body of the letter features authentic personal voice and logical progression regarding career skills rather than relying entirely on generic memorized filler.","After my HSC Exam I will get a lot of free time which I am thinking to use for freelancing.","Jatrabari, Dhaka-1204
27-06-2026

Dear Saiful,","At the beggining of the letter take my salam and the best wishes from the core of my heart","Moreover, I can earn money by doing this which can help me to become self-relient.","","Spelling errors ('beggining', 'self-relient');Incorrect apostrophe usage in contractions and possessives ('I'am', 'Your's');Sentence fragment and punctuation fault ('Freelancing. such as video editing.');Uncountable noun misuse ('so many works')","Complete and flawless adherence to informal letter layout requirements;Direct and relevant response to the prompt topic;Logical paragraph division and progression of ideas","The candidate has produced a structurally complete informal letter with all necessary components (address, date, salutation, body, closing, and envelope). The topic is addressed clearly with authentic plans about freelancing and self-reliance. While the structural and contextual quality is commendable, mechanical precision is compromised by several spelling, punctuation, and apostrophe errors, placing the script at the baseline of Band 4.","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","11149c364f116c540ed2fa80e5e2d31f4b081f57668961df2d4067775140f015","2026-08-24T20:11:07.839872+00:00"
"LETTER_001","SE_11_Q1_0001","10","Letter_Email","5","gemma","ai_studio","0","1","2","0.5","0.5","4","1","2","0.5","0.5","4","4","False","None","Band 4","True","False","The candidate directly addresses the prompt, clearly stating the purpose of the letter and detailing a specific plan (freelancing in video editing, graphic design, and AI).","All six required structural components (address, date, salutation, body, close, signature) are present and correctly positioned. The addition of the envelope layout further demonstrates structural awareness.","The text is readable and maintains a consistent informal register, but it contains frequent basic errors in spelling, punctuation, and noun countability.","The opening and closing are heavily reliant on memorized templates common in guidebooks, although the specific mention of AI work adds a touch of authenticity.","In your letter you wanted to know about my future plan after passing the HSC Exam.","Jatrabari, Dhaka-1204
27-06-2026

Dear Saiful,","At the beggining... I'am... so many works... self-relient... Your's ever","At the beggining of the letter take my salam and the best wishes from the core of my heart","language_mechanics","Spelling (beggining, self-relient);Countability (works);Punctuation (Your's, I'am)","Flawless structural layout;Clear adherence to prompt objective","The candidate has demonstrated a strong grasp of the formal requirements for a letter, providing all necessary layout components. The content is relevant and fulfills the prompt. However, the writing is weakened by multiple mechanical errors and the use of cliché, memorized templates for the introduction and conclusion. In accordance with the tiebreaker for Band 4, the lowest value of the band is awarded due to the frequency of minor linguistic slips.","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","11149c364f116c540ed2fa80e5e2d31f4b081f57668961df2d4067775140f015","2026-08-24T20:12:22.978729+00:00"
