task_id,script_id,question_type,max_mark,teacher_mark,gemini_mark,pipeline_gemma_mark,abs_error_pipeline_vs_teacher,abs_error_gemini_vs_teacher,abs_error_pipeline_vs_gemini,teacher_band,gemini_band,pipeline_band,band_match_pipeline_vs_teacher,band_match_pipeline_vs_gemini,gemini_cap_applied,gemini_cap_reason,pipeline_cap_applied,pipeline_cap_reason,cap_match
CHART_001,SE_11_Q1_0001,Graph_Chart,10.0,4.0,5.0,7.0,3.0,1.0,2.0,Band 2,Band 2,Band 3,False,False,True,Graph_External_Facts,False,None,False
LETTER_001,SE_11_Q1_0001,Letter_Email,5.0,5.0,4.0,2.0,3.0,1.0,2.0,Band 4,Band 4,Band 2,False,False,False,None,True,Letter_Missing_Layout,False
PARA_001,SE_11_Q1_0001,Paragraph,10.0,5.0,8.0,6.5,1.5,3.0,1.5,Band 2,Band 4,Band 3,False,False,False,None,False,None,True
STORY_001,SE_11_Q1_0001,Story,7.0,3.0,5.0,6.0,3.0,2.0,1.0,Band 2,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_001,SE_11_Q1_0001,Summary,10.0,2.0,6.0,7.0,5.0,4.0,1.0,Band 1,Band 3,Band 3,False,True,False,None,False,None,True
THEME_001,SE_11_Q1_0001,Theme,8.0,2.0,5.0,5.5,3.5,3.0,0.5,Band 1,Band 3,Band 3,False,True,False,None,False,None,True
CHART_002,SE_11_Q1_0002,Graph_Chart,10.0,5.0,6.0,6.0,1.0,1.0,0.0,Band 2,Band 3,Band 3,False,True,False,None,False,None,True
LETTER_002,SE_11_Q1_0002,Letter_Email,5.0,3.0,4.0,3.5,0.5,1.0,0.5,Band 3,Band 4,Band 3,True,False,False,None,False,None,True
PARA_002,SE_11_Q1_0002,Paragraph,10.0,6.0,5.0,6.5,0.5,1.0,1.5,Band 3,Band 2,Band 3,True,False,False,None,False,None,True
STORY_002,SE_11_Q1_0002,Story,7.0,5.0,4.0,6.0,1.0,1.0,2.0,Band 3,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_002,SE_11_Q1_0002,Summary,10.0,5.0,8.0,7.0,2.0,3.0,1.0,Band 2,Band 4,Band 3,False,False,False,None,False,None,True
THEME_002,SE_11_Q1_0002,Theme,8.0,6.0,7.0,5.5,0.5,1.0,1.5,Band 3,Band 4,Band 3,True,False,False,None,False,None,True
CHART_003,SE_11_Q1_0003,Graph_Chart,10.0,5.0,6.0,6.0,1.0,1.0,0.0,Band 2,Band 3,Band 3,False,True,False,None,False,None,True
LETTER_003,SE_11_Q1_0003,Letter_Email,5.0,4.0,4.0,3.5,0.5,0.0,0.5,Band 4,Band 4,Band 3,False,False,False,None,False,None,True
PARA_003,SE_11_Q1_0003,Paragraph,10.0,8.0,6.0,6.5,1.5,2.0,0.5,Band 4,Band 3,Band 3,False,True,False,None,False,None,True
STORY_003,SE_11_Q1_0003,Story,7.0,4.0,4.0,6.0,2.0,0.0,2.0,Band 2,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_003,SE_11_Q1_0003,Summary,10.0,3.0,5.0,7.0,4.0,2.0,2.0,Band 1,Band 2,Band 3,False,False,False,None,False,None,True
THEME_003,SE_11_Q1_0003,Theme,8.0,2.0,4.0,5.5,3.5,2.0,1.5,Band 1,Band 2,Band 3,False,False,False,None,False,None,True
CHART_004,SE_11_Q1_0004,Graph_Chart,10.0,8.0,4.0,6.0,2.0,4.0,2.0,Band 4,Band 2,Band 3,False,False,True,Graph_External_Facts,False,None,False
LETTER_004,SE_11_Q1_0004,Letter_Email,5.0,4.0,3.0,2.0,2.0,1.0,1.0,Band 4,Band 3,Band 2,False,False,False,None,True,Letter_Missing_Layout,False
PARA_004,SE_11_Q1_0004,Paragraph,10.0,6.0,5.0,6.5,0.5,1.0,1.5,Band 3,Band 2,Band 3,True,False,False,None,False,None,True
STORY_004,SE_11_Q1_0004,Story,7.0,4.0,3.0,6.0,2.0,1.0,3.0,Band 2,Band 2,Band 4,False,False,False,None,False,None,True
SUMMARY_004,SE_11_Q1_0004,Summary,10.0,8.0,5.0,7.0,1.0,3.0,2.0,Band 4,Band 2,Band 3,False,False,True,Summary_Verbatim_Length,False,None,False
THEME_004,SE_11_Q1_0004,Theme,8.0,3.0,4.0,5.5,2.5,1.0,1.5,Band 1,Band 2,Band 3,False,False,False,None,False,None,True
CHART_005,SE_11_Q1_0005,Graph_Chart,10.0,3.0,4.0,6.0,3.0,1.0,2.0,Band 1,Band 2,Band 3,False,False,False,None,False,None,True
LETTER_005,SE_11_Q1_0005,Letter_Email,5.0,4.0,4.0,3.5,0.5,0.0,0.5,Band 4,Band 4,Band 3,False,False,False,None,False,None,True
