id,fid,subject,group,path,marks,questionEN,questionBN,solution,rubric
612397795268,1000001,ICT,other,other/612397795268.jpg,10/10,Write the Boolean expression for the logic circuit shown below and construct its truth table.,[ চিত্রে দে খানো লজিক বর্তনীর বুলিয়ান সম্পক লিখ এবং এর ট্রু থ ে টবিল তৈরি কর। ],\(Y=AB+\overline{A}\overline{B}\) \(=\) \(\overline{A⊕B}\) \(Y=AB+\overline{A}\overline{B}\) \(=\) \(\overline{A⊕B}\),
971018234283,1000001,General Knowledge,other,other/971018234283.jpg,5/2,,উ্ঃঃধঢ়যৎুহ্ং সবষধহড়ংঃরপঃ্ং রং ধহ ধহরসধষ ড়ভ যিরপয পষধংং? ডৎরঃব ৪ পযধৎধপঃবৎরংঃরপং ড়ভ ঃযরং পষধংং.,উ্ঃঃধঢ়যৎুহ্ং সবষধহড়ংঃরপঃ্ং রং ধহ ধহরসধষ ড়ভ অসঢ়যরনরধ পষধংং. ০.৫ সধৎশ ভড়ৎ ৎিরঃরহম ঃযব উ্ঃঃধঢ়যৎুহ্ং সবষধহড়ংঃরপঃ্ং রং ধহ ধহরসধষ ড়ভ অসঢ়যরনরধ পষধংং. \(\times \),
388557965760,1000001,Biology,other,other/388557965760.jpg,5/2,Define: ( i ) Bivalent (ii) Synapsis ( iii) Tetrad ( iv) Chiasma (v) Crossing over,,\(\times 5)=\),
894483107494,1000001,Biology,other,other/894483107494.jpg,5/2,What is multiple allelism? Which gametes will be formed from \(AaBb\) genotypic organism?,\(AaBb\),\(\times \) \(AaBb\),
994080720760,1000001,Bangla,other,other/994080720760.jpg,,,"নিচের শãগুলোর বিপরীতার্থক শã লেখ: মূর্ত, প্রাচীন, ক্ষয়িòু, তীব্র, নিগ্রহ",বিপরীত শã: মূর্ত - বিমূর্ত প্রাচীন - অর্বাচীন /নবীন/আধুনিক/ নতুন ক্ষয়িòু - বধর্িòু তীব্র - মৃদু/লঘু নিগ্রহ - অনুগ্রহ,নম্বর বণ্টন: প্রতিটি বিপরীত শãের জন্য (০.৫ \(\times \) ৫) = ২.৫ নম্বর। [বিঃ দ্রঃ বিপরীত শãের বানান ভুল হলে বরাদ্দক…ত নম্বর কাটা যাবে]
657037053129,1000001,Biology,other,other/657037053129.jpg,1/2,Write the names of malaria parasite and their latent period.,,( র ) চষধংসড়ফর্স ভধষপরঢ়ধৎ্স ( র ) চষধংসড়ফর্স ভধষপরঢ়ধৎ্স : ৮-১৫ ফধুং,
754323170721,1000001,Bangla,other,other/754323170721.jpg,,,বাক্য কাকে বলে? গঠন অনুসারে বাক্যের শ্রেণিবিভাগ আলোচনা কর।,"অর্থবহ কথাকে বাক্য বলে। অর্থাৎ কিছু শãসমন্বয়ে মনের ভাব প্রকাশের প্রক্রিয়াকে বাক্য বলে। যে সুবিন্যস্ত পদসমষ্টি দ্বারা কোনো বিষয়ে বক্তার মনোভাব সম্পূর্ণরূপে প্রকাশিত হয়, তাকে বাক্য বলে। ড. সুনীতিকুমার চÆোপাধ্যায়ের মতে, Ôকোনও ভাষায় যে উক্তির সার্থকতা এবং গঠনের দিক থেকে যা স্বয়ংসম্পূর্ণ, সেরূপ একক উক্তিকে ব্যাকরণে বাক্য বলে।Õ গঠন অনুসারে বাংলা বাক্য তিন প্রকার। যথা: ১. সরল বাক্য ২. জটিল বাক্য ৩. যেৌগিক বাক্য। ১. সরল বা সাধারণ বাক্য: যে বাক্যে একটিমাত্র কর্তা বা উদ্দেশ্য থাকে এবং একটিমাত্র সমাপিকা ক্রিয়া বা বিধেয় থাকে তাকে সরল বাক্য বলে। যেমন- মুনীরা কলেজে যায়। ত…ণা বই পড়ে। এখানে ÔমুনীরাÕ, Ôত…ণাÕ উদ্দেশ্য বা কর্তা এবং Ôযায়Õ, Ôপড়েÕ সমাপিকা ক্রিয়া বা বিধেয়। ২. জটিল বা মিশ্র বাক্য: যে বাক্য পরস্পর সাপেক্ষ প্রধান ও অপ্রধান খণ্ডবাক্যের সমন্বয়ে বা দুটো খণ্ডবাক্যের সমন্বয়ে গঠিত হয় বা যে বাক্যে প্রধান খণ্ডবাক্যের অধীন এক বা একাধিক অপ্রধান খণ্ডবাক্য থাকে তাকে জটিল বাক্য বলে। এখানে প্রধান খণ্ডবাক্যটি স্বাধীন এবং অপ্রধান খণ্ডবাক্যটি তার অধীন বা আশ্রিত। যেমন- যদিও তিনি পণ্ডিত, তথাপি তিনি বিনয়ী নন। যিনি পরের উপকার করেন, ত্াকে সবাই শ্রদ্ধা করে। এসব বাক্যে- Ôযদিও তিনি পণ্ডিতÕ; Ôযিনি পরের উপকার করেনÕ এগুলো হলো অপ্রধান বা আশ্রিত খণ্ডবাক্য এবং Ôতথাপি তিনি বিনয়ী ননÕ, Ôত্াকে সবাই শ্রদ্ধা করেÕ-এগুলো হলো প্রধান খণ্ডবাক্য। মনে রাখতে হবে জটিল বাক্যের খণ্ডবাক্যগুলোতে যদিও, তথাপি, যিনি, তিনি, ত্াকে, যে, সে, যখন, তখন ইত্যাদি সাপেক্ষ সর্বনাম ও যোজক শã থাকে। ৩. যেৌগিক বা সংযুক্ত বাক্য: পরস্পর নিরপেক্ষ দুই বা ততোধিক সরল বাক্য বা জটিল বাক্য যদি কোনো যোজক শã সংযুক্ত হলে একটি সম্পূর্ণ বাক্য গঠন করে তবে তাকে যেৌগিক বাক্য বলে বা সংযুক্ত বাক্য বলে। যেৌগিক বাক্যের অন্তর্গত নিরপেক্ষ বাক্যগুলো এবং, ও, কিন্তু, সুতরাং, অথবা, নইলে, কিংবা, বরং, তথাপি প্রভ…তি যোজক শã সংযুক্ত বা সমন্বিত থাকে। যেমন-তারা দুজনে ওত পেতে বসেছিল, নইলে চোর ধরা সম্ভব ছিল না। তুমি অন্যায় করেছ, সুতরাং তোমাকে শাস্িত পেতেই হবে। বেশ রাত হলো এবং আমরা বাড়ি ফিরলাম।",নম্বর বণ্টন: বাক্য কাকে বলে লেখার জন্য ০১ নম্বর। গঠন অনুসারে ১ টি শ্রেণিবিভাগ সংÁা ও উদাহরণসহ লেখার জন্য ০২ নম্বর। গঠন অনুসারে ২ টি শ্রেণিবিভাগ সংÁা ও উদাহরণসহ লেখার জন্য ০৩ নম্বর। গঠন অনুসারে ৩ টি শ্রেণিবিভাগ সংÁা ও উদাহরণসহ লেখার জন্য ০৪ নম্বর।
476536117705,1000001,Bangla,other,other/476536117705.jpg,,,"সারমর্ম লেখ: বহুদিন ধরে বহু ক্রোশ দূরে বহু ব্যয় করি বহু দেশ ঘুরে দেখিতে গিয়াছি পর্বতমালা, দেখিতে গিয়াছি সিন্ধু। দেখা হয় নাই চক্ষু মেলিয়া ঘর হতে শুধু দুই পা ফেলিয়া একটি ধানের শিষের উপরে একটি শিশির বিন্দু।",সারমর্ম: প্রচুর অর্থ ও সময় খরচ করে এবং যথেষ্ট কষ্ট করে মানুষ দূরদূরান্েতর সেৌন্দর্য উপভোগ করতে ছুটে যায়। কিন্তু ঘরের কাছের অনুপম সেৌন্দর্যটুকু লক্ষ না করলে সেৌন্দর্য উপভোগের বিষয়টি কখনোই পূর্ণতা পায় না।,নম্বর বণ্টন: প্রচুর অর্থ ও সময় খরচ করে এবং যথেষ্ট কষ্ট করে মানুষ দূরদূরান্েতর সেৌন্দর্য উপভোগ করতে ছুটে যায় - নির্ধারিত অংশে লেখার ভাব ঠিকমতো বোঝাতে পারলে ১.৫ নম্বর। কিন্তু ঘরের কাছের অনুপম সেৌন্দর্যটুকু লক্ষ না করলে সেৌন্দর্য উপভোগের বিষয়টি কখনোই পূর্ণতা পায় না - নির্ধারিত অংশে লেখার ভাব ঠিকমতো বোঝাতে পারলে ০১ নম্বর। [বিঃ দ্রঃ চার বাক্যের বেশি লিখলে ৫০% নম্বর পাবে । ]
499070507297,1000001,English,other,other/499070507297.jpg,,"Read the following extract and answer the questions that follow: My name is Ozymandias, king of kings; ‎ Look on my Works, ye Mighty, and despair! ‎ Nothing beside remains. Round the decay ‎ Of that colossal Wreck, boundless and bare ‎ The lone and level sands stretch far away. (a) How does the poem reflect the difference between Ozymandias's claim and reality? (b) What impression do the ‘lone and level sands’ create at the end of the poem?",,"(a) Ozymandias proudly calls himself ‘king of kings’ and tells others to admire his greatness. However, in reality, nothing of his kingdom remains except a ruined statue in a vast desert. This shows the contrast between his ambition and the emptiness left behind, emphasizing how time destroys all human achievements. (b) The ‘lone and level sands’ create an image of silence , emptiness, and timelessness. They suggest that nature and time have erased all traces of Ozymandias's power, reinforcing the idea that human glory is temporary. Marks Distribution: For writing ; Ozymandias proudly calls himself ‘king of kings’ and tells others to admire his greatness. However, in reality, nothing of his kingdom remains except a ruined statue in a vast desert. This shows the contrast between his ambition and the emptiness left behind, emphasizing how time destroys all human achievements ; 1.5 marks. For writing ; The ‘lone and level sands’ create an image of silence , emptiness, and timelessness. They suggest that nature and time have erased all traces of Ozymandias's power, reinforcing the idea that human glory is temporary ; 01 mark. [ N.B: 0.5 mark will be deducted for two grammar or spelling mistakes, 01 mark for three or more grammar or spelling mistakes.]",
167916560418,1000001,English,other,other/167916560418.jpg,,"Make meaningful sentences with the following words: Ambivalent, Exacerbate, Tenacity, Clandestine, Discern",,"Ambivalent – She felt ambivalent about moving abroad, torn between excitement and fear. Exacerbate – Cutting down more trees will only exacerbate the effects of climate change. Tenacity – His tenacity in the face of repeated failures eventually led to success. Clandestine – The journalist uncovered a clandestine operation involving illegal data trade. Discern – It was difficult to discern the truth amid so many conflicting reports. Marks Distribution: For making meaningful sentences with the given words, (0.5×5) =2.5 marks.",
174196253767,1000001,English,other,other/174196253767.jpg,,"Write a paragraph on ‘Online Learning and Its Impact on Traditional Classrooms,’ using a clear topic sentence, supporting details, and a concluding sentence.",,"Online Learning and Its Impact on Traditional Classrooms Online learning has revolutionized education by making knowledge more accessible, flexible, and self-paced. Students can now learn from global experts, attend virtual classes, and use digital tools to reinforce understanding. Especially during the COVID-19 pandemic, online platforms became essential for continuing education. However, the shift also exposed challenges such as unequal internet access, reduced student engagement, and lack of face-to-face interaction. Traditional classrooms offer a structured environment with real-time feedback and social bonding, which online systems sometimes lack. A balanced approach that blends digital tools with physical classrooms, known as hybrid learning, can offer the best of both worlds. Teachers must be trained to use technology effectively, and students need digital literacy to benefit fully. While online learning is not a perfect replacement, it is a powerful supplement to classroom teaching. If used wisely, it can enhance education and prepare students for a tech-driven future. Marks Distribution: For writing the Title “Online Learning and Its Impact on Traditional Classrooms ” ; 0.5 mark. For writing ; Introductory sentence; 01 mark. For writing ; Students can now learn from global experts, attend virtual classes, and use digital tools to reinforce understanding ; 01 mark. For writing ; Traditional classrooms offer a structured environment with real-time feedback and social bonding, which online systems sometimes lack ; 01 mark. For writing ; Teachers must be trained to use technology effectively, and students need digital literacy to benefit fully ; 01 mark. For writing conclusion; 0.5 mark . [ Instructions: * Students must write it within one single para. If it becomes more than one para , 50% marks have to be deducted from the obtained marks. * 0.5 mark will be deducted for one or two grammar or spelling mistakes, 01 mark for three or more grammar or spelling mistakes.]",
560244588512,1000001,Biology,other,other/560244588512.jpg,5/2,Write down five differences between Vertebrates and Invertebrate.,,\(\rightarrow \) \(\rightarrow \) \(\rightarrow \) \(\rightarrow \) \(\rightarrow \) \(\rightarrow \) \(\rightarrow \) \(\ \rightarrow \) \(\rightarrow \) \(\ \rightarrow \) \(\rightarrow \) \(\rightarrow \) \(\rightarrow \) \(\rightarrow \) \(\rightarrow \) \(\rightarrow \) \(\rightarrow \) \(\ \rightarrow \) \(\rightarrow \) \(\ \rightarrow \) \(\times 5\),
564641797057,1000001,Biology,other,other/564641797057.jpg,5/2,Write the name of sites of different steps of aerobic respiration. Which step is called the common pathway of respiration?,,\(\times \),
821465883373,1000001,Biology,other,other/821465883373.jpg,5/2,What is sex linked inheritance? Mention any four sex linked disorders with their symptoms.,,\(\times \),
229581767323,1000001,Biology,other,other/229581767323.jpg,5/2,Write down 5 differences between tissue culture and recombinant DNA technology.,,\(\times \),
413850273393,1000001,Bangla,other,other/413850273393.jpg,,,"নিচের শãগুলোর দুইটি করে সমার্থক শã লেখ: গগন, পিক, গৃহ, বসুন্ধরা , তটিনী","সমার্থক শã: গগন-আকাশ, আসমান, নীলিমা, নভোমন্ডল, দু্যলোক, অজ্ঞ, শূন্য, নভঃ, অনন্ত, সুরপথ, খলোক, খগোল, নক্ষত্রলোক, নভোলোক, নভস্তল, নভস্থল, অম্বর, ব্যোম, খ, অন্তরিক্ষ, শূন্যলোক । পিক-কোকিল, পরপুষ্ট, অন্যভ…ত, পরভ…ত, কাকপুষ্ট, অন্যপুষ্ট, কলকÉ, বসন্তদূত, মধুবন, কোয়েল, কলঘোষ, বসন্তসখ, বসন্তী, মধুঘোষ, কাকপুচ্ছ । তটিনী-নদী, তরঙ্গিনী, স্রোতস্বিনী, প্রবাহিণী, নদ, নদনদী, শৈবলিনী, স্রোতস্বতী, গাঙ, সরিৎ, সমুদ্রকান্তা, সমুদ্রদয়িতা, স্রোতোবহা, মন্দাকিনী, কল্লোলিনী। গৃহ-বাড়ি, নিকেতন, নিলয়, আবাস , আলয়, ভবন, সদন, আগার, বাটি, বাটিকা, গেহ, নিকেত, বাড়িঘর। বসুন্ধরা-পৃথিবী, বসুমতী, ভুবন, জগৎ , বসুধা, ভূ, অবনি, ধরণি, ধরা, ধরিত্রী, মহি, মেদিনী, ক্ষিতি, বিশ্ব, ধরাতল, ধরাধাম, বসুমাতা, ভূমণ্ডল, মর্ত, ভূতল, পৃথaী, দুনিয়া, জাহান।",নম্বর বণ্টনঃ প্রত্যেকটি শãের ২টি সঠিক সমার্থক শã লেখার জন্য (০.২৫ \(\times \) ২) = ০.৫ নম্বর। ৫টি শãের সঠিক সমার্থক শã লেখার জন্য (০.৫ \(\times \) ৫) = ২.৫ নম্বর। [বি. দ্রঃ শãের বানান ভুল করলে ০.২৫ নম্বর কাটা যাবে।]
