task_id,script_id,question_no,question_type,ground_truth_word_count,stage1_cold_ocr_cer,stage1_cold_ocr_wer,stage3_reference_primed_cer,stage3_reference_primed_wer,stage4_adjudicated_ocr_cer,stage4_adjudicated_ocr_wer,wer_reduction_stage1_to_stage4_pct,stage1_transcription_preview,stage4_transcription_preview,ground_truth_preview
CHART_001,SE_11_Q1_0001,8,Graph_Chart,129,0.8389,1.3798,0.8069,1.3488,0.8069,1.3488,2.25,"tuork Ske hacli_ X Can aflcc} 4ke uhole I nakan 5o, We all soul d Usc Jh> mo der...","tuork Ske hacli_ X Can aflcc} 4ke uhole I nakan 5o, We all soul d Usc Jh> mo der...","The sources of the USA electricity
in 1980

In the given pie-charet we can see t..."
LETTER_001,SE_11_Q1_0001,10,Letter_Email,155,0.5943,1.1548,0.5943,1.1548,0.5943,1.1548,0.0,Axxal Answerr 0} Jhe_Quellion Nurber J0 Datrrabaru; Dhaba 3 204 27-0 6 2026 ;3 D...,Axxal Answerr 0} Jhe_Quellion Nurber J0 Datrrabaru; Dhaba 3 204 27-0 6 2026 ;3 D...,"Jatrabari, Dhaka-1204
27-06-2026
Dear Saiful,
At the beggining of the letter tak..."
PARA_001,SE_11_Q1_0001,7,Paragraph,201,0.8737,1.3831,0.8754,1.3831,0.8754,1.3831,0.0,Ans ol Qucslion Number 7 Ard: Hiaal Tntell:qence Arcl Ticial Tntellqence moNdfy ...,Ans ol Qucslion Number 7 Ard: Hiaal Tntell:qence Arcl Ticial Tntellqence moNdfy ...,"Artificial Intelligence

Artificial Intelligence mostly known as AI
is a modern ..."
STORY_001,SE_11_Q1_0001,9,Story,170,0.7122,1.1529,0.7074,1.1353,0.7074,1.1353,1.53,AnJuerr Jhc Qucxlon Nurber 9 'Size cbesnY Maller' Once M waA jn 0 Rorext Su moul...,AnJuerr Jhc Qucxlon Nurber 9 'Size cbesnY Maller' Once M waA jn 0 Rorext Su moul...,"Size doesn't Matter

Once a lion was sleeping in a forrest.
Suddenly a mouse cam..."
SUMMARY_001,SE_11_Q1_0001,3,Summary,61,0.5724,0.9344,0.5724,0.9344,0.5724,0.9344,0.0,Answerr oj Ahe Queslon Numberc 3 In peem 'A Compared bircd Bircd kere and Akere ...,Answerr oj Ahe Queslon Numberc 3 In peem 'A Compared bircd Bircd kere and Akere ...,"In the poem Hope is compared with
bird. Bird alaways flys here and
there. In the..."
THEME_001,SE_11_Q1_0001,11,Theme,48,1.0293,1.5417,1.0293,1.5417,1.0293,1.5417,0.0,"Ans ot Hhe Quesk;on Numberr There are LJa wnd al"" dcam Onc ukich CJc Aee while b...","Ans ot Hhe Quesk;on Numberr There are LJa wnd al"" dcam Onc ukich CJc Aee while b...","There are two kind of dream. one which
we see while we sleep and another
because..."
CHART_002,SE_11_Q1_0002,8,Graph_Chart,112,0.879,1.5982,0.879,1.5982,0.879,1.5982,0.0,4 Ane:to fke 0 No.& n0 @e pie ckoil ;|luslrales Ohe scues op USA eleet m aly in ...,4 Ane:to fke 0 No.& n0 @e pie ckoil ;|luslrales Ohe scues op USA eleet m aly in ...,"The pie chart illustrates the sources of
USA electricity in 1980.
Accroding do t..."
LETTER_002,SE_11_Q1_0002,10,Letter_Email,146,0.8647,1.4041,0.8635,1.4041,0.8635,1.4041,0.0,"LAns: to #be 0No: 10 97 Jtne 926 o| Fandbod; 1,/ro 14601 2 0n :t Dhaka-12o4 M ~J...","LAns: to #be 0No: 10 97 Jtne 926 o| Fandbod; 1,/ro 14601 2 0n :t Dhaka-12o4 M ~J...","27 June 2026
Faridabad,
Dhaka-1204

Dear Jarif,

Hope you are well by the grace ..."
PARA_002,SE_11_Q1_0002,7,Paragraph,243,0.6679,1.1605,0.6679,1.1605,0.6679,1.1605,0.0,"Ans; +o Ale 0. A6, x 1 7}F 40' AtkRaa_ Tleli: ee Ark; cial enc e |s Az 1 1. Cohi...","Ans; +o Ale 0. A6, x 1 7}F 40' AtkRaa_ Tleli: ee Ark; cial enc e |s Az 1 1. Cohi...","Artificial Intelligence

Artificial Intelligence is called 'AI'
which means one ..."
STORY_002,SE_11_Q1_0002,9,Story,294,0.6648,1.0544,0.6648,1.0544,0.6648,1.0544,0.0,"Ans:+6 fhe 0 No 7' Fed JAadse Gc Lion &nd- Mouse 9) 6"" 4 a BN` 'j ""711 a Aba WqS...","Ans:+6 fhe 0 No 7' Fed JAadse Gc Lion &nd- Mouse 9) 6"" 4 a BN` 'j ""711 a Aba WqS...",""" A. Lion and Mouse ""

Once a lion was sleeping in a forest.
Suddenly a mouse ca..."
