id,subject,gold_score,gemini_rubric,full_marks,abs_err,normalized_err,transcription,reasoning
239002911613,English,0.0,3.5,5.0,3.5,0.7,a) In the time of rainfall I was home. b) Bangladesh is greener than most other countries in the world. c) He is nama to nobody here. d) Nothing but the moon was visible in the sky. e) Mamun worked ha,(a) It was raining and I was home. (Simple): 1.0/1.0 The transformation to 'In the time of rainfall I was home' correctly converts the compound sentence into a simple one while retaining the meaning. | (b) Very few countries of the world are as green as Bangladesh. (Comparative): 1.0/1.0 The transfo
637151931826,English,4.5,2.0,5.0,2.5,0.5,"River System of Bangladesh and their Economic Importance Rivers are very important element for any civilization for various reasons such as transportation, living, fresh water for living etc. Banglade",Title: 'River Systems of Bangladesh and Their Economic Importance': 0.5/0.5 The student provided a title very similar to the model: 'River System of Bangladesh and their Economic Importance'. Minor singular/plural and capitalization differences are acceptable. | Topic Sentence: 0.5/0.5 The student's
870967429460,English,1.0,2.0,2.5,1.0,0.4,a) should b) would c) may d) will e) can,"(a) You ___ wear a helmet while riding a motorcycle.: 0.5/0.5 Student answered 'should', which is a correct suitable modal. | (b) She ___ be at the library now; I saw her leave home an hour ago.: 0.0/0.5 Student answered 'would', which is not a suitable modal. The context requires a modal expressing"
324529993555,English,2.0,4.0,5.0,2.0,0.4,a) in b) into c) to d) from e) upon,Preposition for (a): 1.0/1.0 The student correctly used 'in' for 'just in time'. | Preposition for (b): 1.0/1.0 The student correctly used 'into' for 'throw into water'. | Preposition for (c): 1.0/1.0 The student correctly used 'to' for 'left the key to security-in-charge'. | Preposition for (d): 1.
336054967593,English,1.0,3.0,5.0,2.0,0.4,ob 1 a) Slaughtering the monsters was one of the toughest his performed jobs. b) Bangladesh is better than the most other teams in one-day cricket. c) His mind was made up by evil thoughts. d) What ha,(a) Make it positive: 0.0/1.0 The student did not transform the sentence into a positive degree. The sentence remains in a superlative form ('one of the toughest'). | (b) Make it comparative: 0.5/1.0 The student attempted to make it comparative but used 'better' instead of 'stronger' (which is accep
180052742843,English,0.0,2.0,5.0,2.0,0.4,(a) ugly (b) patriotic (c) (d) distingusih (e) madam queen,"(a) Inquisitive (synonym): 0.0/1.0 The student provided 'ugly', which is not a synonym for 'inquisitive'. | (b) Patriot (adjective): 1.0/1.0 The student correctly provided 'patriotic' as the adjective form of 'patriot'. | (c) Inimical (antonym): 0.0/1.0 The student left this item blank. | (d) Propou"
377936192482,English,2.5,4.0,5.0,1.5,0.3,"(a) None but Allah can help us. (b) HOW fast my hair grows! (c) please, You should warn the boy. (d) I read books, so that I get pleasure. (e) Surely, he will succeed",Transform (a) Only Allah can help us. (Make it negative): 1.0/1.0 The transformation 'None but Allah can help us' is grammatically correct and accurately conveys the negative form while retaining the original meaning. | Transform (b) My hair grows very fast. (Make it exclamatory): 1.0/1.0 The transf
859733660028,English,10.0,7.0,10.0,3.0,0.3,a) Isn't he reading a book? b) It is a very beautiful piece of painting. c) Aren't they playing in the garden? d) Won't I help you? e) How gracefully she dance! f) The cat is nowhere but the roof. g) ,(a) He is reading a book. (Interrogative): 1.0/1.0 Correctly transformed to 'Isn't he reading a book?' | (b) What a beautiful piece of painting it is! (Assertive): 1.0/1.0 Correctly transformed to 'It is a very beautiful piece of painting.' | (c) They are playing in the garden. (Interrogative): 1.0/
283999259127,English,0.0,1.0,5.0,1.0,0.2,a) b) Aequse Accuse c) Temporary / Volatile d) Propaganda e) Maintainance,Spinster (masculine): 0.0/1.0 No answer provided for this part. | Acquisition (verb): 0.0/1.0 The student provided 'Aequse Accuse'. Neither 'Aequse' (likely a misspelling of 'acquire') nor 'Accuse' is the correct verb form of 'Acquisition'. The correct verb is 'Acquire'. | Residual (antonym): 0.0/1.
324443608444,English,5.0,7.0,10.0,2.0,0.2,(a) is (g) is (b) remain (h) might (c) listened (i) working (d) could (j) to be (e) working (f) was crying,"(a) It is she who _____ responsible for organizing the event. (to be): 1.0/1.0 Student correctly identified 'is' as the present tense form of 'to be' agreeing with 'she'. | (b) As long as the weather _____ fine, we continued our journey. (to remain): 0.0/1.0 Student wrote 'remain'. The correct form "
113999100138,English,10.0,8.0,10.0,2.0,0.2,a) She doesn't sing ugly. b) How kind the teacher is! c) Aren't I going to school? d) They won't lose the match. e) It is a very lovely day. f) How beautiful the scenery is! g) Haven't we completed th,(a) She sings beautifully. (Negative): 1.0/1.0 The student correctly transformed the sentence into a negative form while retaining the original meaning by using an antonym with negation. | (b) The teacher is very kind. (Exclamatory): 1.0/1.0 The student correctly transformed the sentence into an exc
551750351093,English,7.0,8.0,10.0,1.0,0.1,a) the b) the c) the d) a e) a f) the g) the h) th i) a j) the,"(a) deepest freshwater lake: 1.0/1.0 The student correctly used 'the' for the superlative 'deepest'. | (b) Siberia: 0.0/1.0 The student used 'the', but no article is required before the proper noun 'Siberia'. | (c) world’s unfrozen fresh water: 1.0/1.0 The student correctly used 'the' for the specif"
575892002432,English,3.0,3.0,5.0,0.0,0.0,৩২ @ heard of sheep P prepositional phrase resounding- tremendous (অভূতপূর্ব) (d) (e) (iii) Neither of those mattress feels comfortable,Which collective noun is used to describe a number of sheep?: 0.0/1.0 The student wrote 'heard' instead of the correct collective noun 'herd'. | What type of phrase the underlined part is- “He could not go to school on account of illness.”?: 1.0/1.0 Correctly identified as a 'prepositional phrase'. 
711177325799,English,2.0,2.0,5.0,0.0,0.0,(a) long Journey (b) X a (c) Enthusiastic (d) good (e) I owe you.,"Answer to (a) The idiom ‘going south’ refers to _____.: 0.0/1.0 The student answered 'long Journey', which is incorrect. The idiom means 'deteriorating' or 'getting worse'. | Answer to (b) British Bangalis are _____ important part of _____ Bangladeshi diaspora who are living abroad. (Use appropriate"
185338487986,English,2.0,2.0,5.0,0.0,0.0,"৩২। ৭) b) Noun clause C) bitch d) unhelpful companion e) iii) which - - - - - , the red - - - - ?","Answer to (a): 0.0/1.0 No answer was provided for question (a). | Answer to (b): 0.0/1.0 The clause 'wherever you like' is an adverbial clause of place, not a noun clause. | Answer to (c): 1.0/1.0 The term 'bitch' is the correct gender for a female dog. | Answer to (d): 0.0/1.0 The meaning of 'A sle"
209043646177,English,2.0,2.0,5.0,0.0,0.0,"a) b) an, the c) Enthu d) e) iii) I owe you","Answer to (a): 0.0/1.0 The student left the answer blank. | Answer to (b): 1.0/1.0 The student correctly identified 'an' and 'the' as the appropriate articles. | Answer to (c): 0.0/1.0 The student provided 'Enthu', which is a colloquial shortening, not the correct adjective 'enthusiastic'. | Answer "
827993948441,English,8.0,8.0,10.0,0.0,0.0,(a) He did not pay attention to what the teacher said. (b) She insisted on going there alone. (c) The police caught out the thief red handed. (d) He is superior to me in mathematics. (e) Despite his i,(a) He did not pay attention on what the teacher said.: 1.0/1.0 Correctly changed 'on' to 'to'. | (b) She insisted to go there alone.: 1.0/1.0 Correctly changed 'to go' to 'on going'. | (c) The police caught the thief red handed.: 0.0/1.0 The original sentence is grammatically correct and idiomatic.
375756398314,English,4.0,4.0,5.0,0.0,0.0,a) an b) a c) the d) a e) The,"Article for 'unique opportunity': 0.0/1.0 The student wrote 'an', but 'unique' starts with a consonant sound ('yoo'), so 'a' is the correct article. | Article for 'good breakfast': 1.0/1.0 The student correctly used 'a'. | Article for 'ear' (specific): 1.0/1.0 The student correctly used 'the' for a "
468436163814,English,8.0,8.0,10.0,0.0,0.0,a) are b) remains c) singing d) could e) exercising f) telling g) were h) might i) talking j) taken taking,"(a) It is they who _____ to be blamed for the mistake. (to be): 1.0/1.0 Correct. 'are' is the correct form for the plural subject 'they'. | (b) So long as the patient _____ under observation, the doctor stayed alert. (remain): 1.0/1.0 Correct. 'remains' is the correct form for the singular subject '"
