"run_id","task_id","exam_set","model","provider","model_id","thinking_level","run_index","call_index","input_tokens","output_tokens","thoughts_tokens","cost_usd","latency_ms","attempt_number","http_status","timestamp"
"DIALOG_001__gemma__run0__call0","DIALOG_001","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","5864","2454","1765","0.001323","99657","1","200","2026-09-16T21:27:27.875024+00:00"
"DIALOG_002__gemma__run0__call0","DIALOG_002","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6114","1911","1174","0.001185","158062","1","200","2026-09-16T21:51:52.219202+00:00"
"DIALOG_003__gemma__run0__call0","DIALOG_003","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","5993","2949","2184","0.001484","293937","1","200","2026-09-16T22:11:40.495390+00:00"
"DIALOG_004__gemma__run0__call0","DIALOG_004","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6071","3203","2425","0.001568","132500","1","200","2026-09-16T22:23:35.128804+00:00"
"DIALOG_005__gemma__run0__call0","DIALOG_005","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6163","1904","1135","0.001188","1510327","6","200","2026-09-16T22:58:58.593657+00:00"
"DIALOG_006__gemma__run0__call0","DIALOG_006","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6010","2063","1272","0.00122","101546","1","200","2026-09-16T22:47:48.444979+00:00"
"DIALOG_007__gemma__run0__call0","DIALOG_007","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","5974","2223","1509","0.001264","509140","4","200","2026-09-16T23:08:30.907719+00:00"
"DIALOG_008__gemma__run0__call0","DIALOG_008","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6117","1949","1170","0.001196","654593","4","200","2026-09-16T23:23:51.666644+00:00"
"DIALOG_009__gemma__run0__call0","DIALOG_009","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6000","1936","1185","0.001181","157202","1","200","2026-09-16T23:31:45.033953+00:00"
"DIALOG_010__gemma__run0__call0","DIALOG_010","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","5966","2076","1376","0.001219","951937","4","200","2026-09-16T23:55:16.204186+00:00"
"DIALOG_011__gemma__run0__call0","DIALOG_011","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","5997","3731","2923","0.001719","262062","1","200","2026-09-16T23:54:39.407605+00:00"
"DIALOG_012__gemma__run0__call0","DIALOG_012","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","5924","2134","1445","0.001233","302907","3","200","2026-09-17T00:05:59.010605+00:00"
"DIALOG_013__gemma__run0__call0","DIALOG_013","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","5975","1917","1130","0.001173","307733","1","200","2026-09-17T00:19:22.813126+00:00"
"DIALOG_014__gemma__run0__call0","DIALOG_014","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6011","3243","2393","0.001574","492391","2","200","2026-09-17T00:36:51.757394+00:00"
"DIALOG_015__gemma__run0__call0","DIALOG_015","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","5962","4558","3793","0.001964","566500","2","200","2026-09-17T00:48:32.926337+00:00"
"DIALOG_016__gemma__run0__call0","DIALOG_016","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6089","2268","1500","0.001289","405890","2","200","2026-09-17T00:55:22.664162+00:00"
"DIALOG_017__gemma__run0__call0","DIALOG_017","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6060","2430","1615","0.001335","849437","6","200","2026-09-17T01:13:05.761780+00:00"
"DIALOG_018__gemma__run0__call0","DIALOG_018","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6101","2660","1914","0.001408","437172","1","200","2026-09-17T01:20:27.888969+00:00"
"DIALOG_019__gemma__run0__call0","DIALOG_019","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6076","2119","1352","0.001243","219578","1","200","2026-09-17T01:26:39.713758+00:00"
"DIALOG_020__gemma__run0__call0","DIALOG_020","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6073","2220","1487","0.001273","337467","1","200","2026-09-17T01:46:56.301114+00:00"
"DIALOG_021__gemma__run0__call0","DIALOG_021","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6124","2266","1534","0.001292","92203","1","200","2026-09-17T01:58:07.392579+00:00"
"DIALOG_022__gemma__run0__call0","DIALOG_022","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","5893","2551","1869","0.001355","156858","1","200","2026-09-17T02:09:20.236599+00:00"
"DIALOG_023__gemma__run0__call0","DIALOG_023","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","5940","3481","2816","0.001638","1251109","4","200","2026-09-17T02:31:25.606258+00:00"
"DIALOG_024__gemma__run0__call0","DIALOG_024","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6106","1999","1227","0.00121","692032","2","200","2026-09-17T02:43:26.228325+00:00"
"DIALOG_025__gemma__run0__call0","DIALOG_025","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6022","3295","2540","0.001591","321000","2","200","2026-09-17T03:02:15.908590+00:00"
"DIALOG_026__gemma__run0__call0","DIALOG_026","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6106","3190","2387","0.001568","391233","1","200","2026-09-17T03:03:26.155435+00:00"
"DIALOG_027__gemma__run0__call0","DIALOG_027","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6049","2993","2256","0.001503","292625","1","200","2026-09-17T03:01:47.553505+00:00"
"DIALOG_028__gemma__run0__call0","DIALOG_028","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6122","2446","1637","0.001346","320703","2","200","2026-09-17T03:06:28.657704+00:00"
"DIALOG_029__gemma__run0__call0","DIALOG_029","SE_07_Q1","gemma","ai_studio","gemma-4-31b-it","high","0","0","6034","2248","1500","0.001278","1138344","7","200","2026-09-17T03:22:24.498317+00:00"
