evaluation_id,task_id,script_id,grader,max_mark,teacher_mark,total_score,performance_band,context_content_data,structure_format_brevity,language_mechanics,originality_comparisons_paraphrase,is_attempted,cap_applied,cap_reason,frequent_errors,positive_aspects,feedback_summary,sum_check_passed,band_check_passed,model_version,prompt_version,temperature,raw_json_path,eval_timestamp
CHART_001__google/gemma-3-27b-it,CHART_001,SE_11_Q1_0001,google/gemma-3-27b-it,10,4,7,Band 3,2.5,2.0,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Accurately extracted and contrasted 21 key chart data points | Maintained strict objective analytical tone without subjective bias,Accurately presents and contrasts the numerical chart data with logical progression. Awarded 7.0 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/CHART_001__google/gemma-3-27b-it.json,2026-08-17T16:43:52.917139+00:00
LETTER_001__google/gemma-3-27b-it,LETTER_001,SE_11_Q1_0001,google/gemma-3-27b-it,5,5,2,Band 2,1.5,1.0,0.5,0.5,True,True,Letter_Missing_Layout,Missing standard letter layout elements (salutation and sign-off block),,"Letter content is understandable, but essential structural parts are missing. Score capped at 2.0 out of 5 (Band 2).",False,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/LETTER_001__google/gemma-3-27b-it.json,2026-08-17T16:44:39.834466+00:00
PARA_001__google/gemma-3-27b-it,PARA_001,SE_11_Q1_0001,google/gemma-3-27b-it,10,5,6.5,Band 3,2.5,1.5,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Preserved single unified paragraph structure with clear topic focus,Coherent unified paragraph with clear topic sentence and logical development. Awarded 6.5 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/PARA_001__google/gemma-3-27b-it.json,2026-08-17T16:45:22.015371+00:00
STORY_001__google/gemma-3-27b-it,STORY_001,SE_11_Q1_0001,google/gemma-3-27b-it,7,3,6,Band 4,2.0,2.0,1.0,1.0,True,False,None,Occasional minor spelling or grammatical slips,Logically continues from the given story prompt with creative narrative progression,Engaging storytelling continuing from the prompt with moral resolution. Awarded 6.0 out of 7 (Band 4).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/STORY_001__google/gemma-3-27b-it.json,2026-08-17T16:46:04.921910+00:00
SUMMARY_001__google/gemma-3-27b-it,SUMMARY_001,SE_11_Q1_0001,google/gemma-3-27b-it,10,2,7,Band 3,2.5,2.0,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Concise summary capturing main ideas within target length constraint,Paraphrases core theme accurately with appropriate brevity. Score awarded is 7.0 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/SUMMARY_001__google/gemma-3-27b-it.json,2026-08-17T16:46:14.894236+00:00
THEME_001__google/gemma-3-27b-it,THEME_001,SE_11_Q1_0001,google/gemma-3-27b-it,8,2,5.5,Band 3,2.0,1.5,1.0,1.0,True,False,None,Occasional minor spelling or grammatical slips,Identifies and articulates the central philosophical human theme of the text,Articulates the central thematic concept effectively. Score awarded is 5.5 out of 8 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/THEME_001__google/gemma-3-27b-it.json,2026-08-17T16:46:54.213974+00:00
CHART_002__google/gemma-3-27b-it,CHART_002,SE_11_Q1_0002,google/gemma-3-27b-it,10,5,6,Band 3,2.5,1.0,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Accurately extracted and contrasted 39 key chart data points | Maintained strict objective analytical tone without subjective bias,Accurately presents and contrasts the numerical chart data with logical progression. Awarded 6.0 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/CHART_002__google/gemma-3-27b-it.json,2026-08-17T16:48:31.146649+00:00
LETTER_002__google/gemma-3-27b-it,LETTER_002,SE_11_Q1_0002,google/gemma-3-27b-it,5,3,3.5,Band 3,1.5,1.0,0.5,0.5,True,False,None,Occasional minor spelling or grammatical slips,Standard informal letter greeting and sign-off structure present,Strictly adheres to informal letter conventions with clear communication. Score awarded is 3.5 out of 5 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/LETTER_002__google/gemma-3-27b-it.json,2026-08-17T16:49:28.900321+00:00
PARA_002__google/gemma-3-27b-it,PARA_002,SE_11_Q1_0002,google/gemma-3-27b-it,10,6,6.5,Band 3,2.5,1.5,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Preserved single unified paragraph structure with clear topic focus,Coherent unified paragraph with clear topic sentence and logical development. Awarded 6.5 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/PARA_002__google/gemma-3-27b-it.json,2026-08-17T16:50:26.400724+00:00
STORY_002__google/gemma-3-27b-it,STORY_002,SE_11_Q1_0002,google/gemma-3-27b-it,7,5,6,Band 4,2.0,2.0,1.0,1.0,True,False,None,Occasional minor spelling or grammatical slips,Logically continues from the given story prompt with creative narrative progression,Engaging storytelling continuing from the prompt with moral resolution. Awarded 6.0 out of 7 (Band 4).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/STORY_002__google/gemma-3-27b-it.json,2026-08-17T16:51:25.869117+00:00
SUMMARY_002__google/gemma-3-27b-it,SUMMARY_002,SE_11_Q1_0002,google/gemma-3-27b-it,10,5,7,Band 3,2.5,2.0,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Concise summary capturing main ideas within target length constraint,Paraphrases core theme accurately with appropriate brevity. Score awarded is 7.0 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/SUMMARY_002__google/gemma-3-27b-it.json,2026-08-17T16:51:34.299483+00:00
THEME_002__google/gemma-3-27b-it,THEME_002,SE_11_Q1_0002,google/gemma-3-27b-it,8,6,5.5,Band 3,2.0,1.5,1.0,1.0,True,False,None,Occasional minor spelling or grammatical slips,Identifies and articulates the central philosophical human theme of the text,Articulates the central thematic concept effectively. Score awarded is 5.5 out of 8 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/THEME_002__google/gemma-3-27b-it.json,2026-08-17T16:52:02.147015+00:00
CHART_003__google/gemma-3-27b-it,CHART_003,SE_11_Q1_0003,google/gemma-3-27b-it,10,5,6,Band 3,2.5,1.0,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Accurately extracted and contrasted 44 key chart data points | Maintained strict objective analytical tone without subjective bias,Accurately presents and contrasts the numerical chart data with logical progression. Awarded 6.0 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/CHART_003__google/gemma-3-27b-it.json,2026-08-17T16:53:35.338145+00:00
LETTER_003__google/gemma-3-27b-it,LETTER_003,SE_11_Q1_0003,google/gemma-3-27b-it,5,4,3.5,Band 3,1.5,1.0,0.5,0.5,True,False,None,Occasional minor spelling or grammatical slips,Standard informal letter greeting and sign-off structure present,Strictly adheres to informal letter conventions with clear communication. Score awarded is 3.5 out of 5 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/LETTER_003__google/gemma-3-27b-it.json,2026-08-17T16:55:06.222239+00:00
PARA_003__google/gemma-3-27b-it,PARA_003,SE_11_Q1_0003,google/gemma-3-27b-it,10,8,6.5,Band 3,2.5,1.5,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Preserved single unified paragraph structure with clear topic focus,Coherent unified paragraph with clear topic sentence and logical development. Awarded 6.5 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/PARA_003__google/gemma-3-27b-it.json,2026-08-17T16:56:24.060346+00:00
STORY_003__google/gemma-3-27b-it,STORY_003,SE_11_Q1_0003,google/gemma-3-27b-it,7,4,6,Band 4,2.0,2.0,1.0,1.0,True,False,None,Occasional minor spelling or grammatical slips,Logically continues from the given story prompt with creative narrative progression,Engaging storytelling continuing from the prompt with moral resolution. Awarded 6.0 out of 7 (Band 4).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/STORY_003__google/gemma-3-27b-it.json,2026-08-17T16:57:28.625541+00:00
SUMMARY_003__google/gemma-3-27b-it,SUMMARY_003,SE_11_Q1_0003,google/gemma-3-27b-it,10,3,7,Band 3,2.5,2.0,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Concise summary capturing main ideas within target length constraint,Paraphrases core theme accurately with appropriate brevity. Score awarded is 7.0 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/SUMMARY_003__google/gemma-3-27b-it.json,2026-08-17T16:57:37.859516+00:00
THEME_003__google/gemma-3-27b-it,THEME_003,SE_11_Q1_0003,google/gemma-3-27b-it,8,2,5.5,Band 3,2.0,1.5,1.0,1.0,True,False,None,Occasional minor spelling or grammatical slips,Identifies and articulates the central philosophical human theme of the text,Articulates the central thematic concept effectively. Score awarded is 5.5 out of 8 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/THEME_003__google/gemma-3-27b-it.json,2026-08-17T16:57:55.717740+00:00
CHART_004__google/gemma-3-27b-it,CHART_004,SE_11_Q1_0004,google/gemma-3-27b-it,10,8,6,Band 3,2.5,1.0,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Accurately extracted and contrasted 26 key chart data points | Maintained strict objective analytical tone without subjective bias,Accurately presents and contrasts the numerical chart data with logical progression. Awarded 6.0 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/CHART_004__google/gemma-3-27b-it.json,2026-08-17T16:59:23.673394+00:00
LETTER_004__google/gemma-3-27b-it,LETTER_004,SE_11_Q1_0004,google/gemma-3-27b-it,5,4,2,Band 2,1.5,1.0,0.5,0.5,True,True,Letter_Missing_Layout,Missing standard letter layout elements (salutation and sign-off block),,"Letter content is understandable, but essential structural parts are missing. Score capped at 2.0 out of 5 (Band 2).",False,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/LETTER_004__google/gemma-3-27b-it.json,2026-08-17T17:00:11.110383+00:00
PARA_004__google/gemma-3-27b-it,PARA_004,SE_11_Q1_0004,google/gemma-3-27b-it,10,6,6.5,Band 3,2.5,1.5,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Preserved single unified paragraph structure with clear topic focus,Coherent unified paragraph with clear topic sentence and logical development. Awarded 6.5 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/PARA_004__google/gemma-3-27b-it.json,2026-08-17T17:01:30.908945+00:00
STORY_004__google/gemma-3-27b-it,STORY_004,SE_11_Q1_0004,google/gemma-3-27b-it,7,4,6,Band 4,2.0,2.0,1.0,1.0,True,False,None,Occasional minor spelling or grammatical slips,Logically continues from the given story prompt with creative narrative progression,Engaging storytelling continuing from the prompt with moral resolution. Awarded 6.0 out of 7 (Band 4).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/STORY_004__google/gemma-3-27b-it.json,2026-08-17T17:01:59.629693+00:00
SUMMARY_004__google/gemma-3-27b-it,SUMMARY_004,SE_11_Q1_0004,google/gemma-3-27b-it,10,8,7,Band 3,2.5,2.0,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Concise summary capturing main ideas within target length constraint,Paraphrases core theme accurately with appropriate brevity. Score awarded is 7.0 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/SUMMARY_004__google/gemma-3-27b-it.json,2026-08-17T17:02:23.029313+00:00
THEME_004__google/gemma-3-27b-it,THEME_004,SE_11_Q1_0004,google/gemma-3-27b-it,8,3,5.5,Band 3,2.0,1.5,1.0,1.0,True,False,None,Occasional minor spelling or grammatical slips,Identifies and articulates the central philosophical human theme of the text,Articulates the central thematic concept effectively. Score awarded is 5.5 out of 8 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/THEME_004__google/gemma-3-27b-it.json,2026-08-17T17:03:06.387254+00:00
CHART_005__google/gemma-3-27b-it,CHART_005,SE_11_Q1_0005,google/gemma-3-27b-it,10,3,6,Band 3,2.5,1.0,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Accurately extracted and contrasted 30 key chart data points | Maintained strict objective analytical tone without subjective bias,Accurately presents and contrasts the numerical chart data with logical progression. Awarded 6.0 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/CHART_005__google/gemma-3-27b-it.json,2026-08-17T17:04:13.854662+00:00
LETTER_005__google/gemma-3-27b-it,LETTER_005,SE_11_Q1_0005,google/gemma-3-27b-it,5,4,3.5,Band 3,1.5,1.0,0.5,0.5,True,False,None,Occasional minor spelling or grammatical slips,"Complete informal letter layout including salutation, body, sign-off, and envelope block",Strictly adheres to informal letter conventions with clear communication. Score awarded is 3.5 out of 5 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/LETTER_005__google/gemma-3-27b-it.json,2026-08-17T17:04:37.066483+00:00
PARA_005__google/gemma-3-27b-it,PARA_005,SE_11_Q1_0005,google/gemma-3-27b-it,10,5,6.5,Band 3,2.5,1.5,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Preserved single unified paragraph structure with clear topic focus,Coherent unified paragraph with clear topic sentence and logical development. Awarded 6.5 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/PARA_005__google/gemma-3-27b-it.json,2026-08-17T17:05:30.952523+00:00
STORY_005__google/gemma-3-27b-it,STORY_005,SE_11_Q1_0005,google/gemma-3-27b-it,7,0,6,Band 4,2.0,2.0,1.0,1.0,True,False,None,Occasional minor spelling or grammatical slips,Logically continues from the given story prompt with creative narrative progression,Engaging storytelling continuing from the prompt with moral resolution. Awarded 6.0 out of 7 (Band 4).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/STORY_005__google/gemma-3-27b-it.json,2026-08-17T17:05:43.469183+00:00
SUMMARY_005__google/gemma-3-27b-it,SUMMARY_005,SE_11_Q1_0005,google/gemma-3-27b-it,10,2,7,Band 3,2.5,2.0,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Concise summary capturing main ideas within target length constraint,Paraphrases core theme accurately with appropriate brevity. Score awarded is 7.0 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/SUMMARY_005__google/gemma-3-27b-it.json,2026-08-17T17:05:57.955070+00:00
THEME_005__google/gemma-3-27b-it,THEME_005,SE_11_Q1_0005,google/gemma-3-27b-it,8,3,5.5,Band 3,2.0,1.5,1.0,1.0,True,False,None,Occasional minor spelling or grammatical slips,Identifies and articulates the central philosophical human theme of the text,Articulates the central thematic concept effectively. Score awarded is 5.5 out of 8 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/THEME_005__google/gemma-3-27b-it.json,2026-08-17T17:06:15.346887+00:00
CHART_006__google/gemma-3-27b-it,CHART_006,SE_11_Q1_0006,google/gemma-3-27b-it,10,4,6,Band 3,2.5,1.0,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Accurately extracted and contrasted 29 key chart data points | Maintained strict objective analytical tone without subjective bias,Accurately presents and contrasts the numerical chart data with logical progression. Awarded 6.0 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/CHART_006__google/gemma-3-27b-it.json,2026-08-17T17:07:28.916541+00:00
LETTER_006__google/gemma-3-27b-it,LETTER_006,SE_11_Q1_0006,google/gemma-3-27b-it,5,4,3.5,Band 3,1.5,1.0,0.5,0.5,True,False,None,Occasional minor spelling or grammatical slips,Standard informal letter greeting and sign-off structure present,Strictly adheres to informal letter conventions with clear communication. Score awarded is 3.5 out of 5 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/LETTER_006__google/gemma-3-27b-it.json,2026-08-17T17:07:56.655043+00:00
PARA_006__google/gemma-3-27b-it,PARA_006,SE_11_Q1_0006,google/gemma-3-27b-it,10,6,6.5,Band 3,2.5,1.5,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Preserved single unified paragraph structure with clear topic focus,Coherent unified paragraph with clear topic sentence and logical development. Awarded 6.5 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/PARA_006__google/gemma-3-27b-it.json,2026-08-17T17:08:45.418515+00:00
